#{"t_start": 1605569286.9073558, "env_id": "ChromeDino-v0"}
r,l,t
0.7,18,23.640068
-0.1,10,29.059976
-0.1,10,34.940316
0.2,13,40.33799
0.9,20,46.358023
-0.0,11,51.27973
0.4,15,57.380315
0.4,15,62.180202
2.8,39,76.960352
0.2,13,83.830608
0.2,13,90.94987
2.0,31,95.639118
3.8,49,103.912563
3.9,50,109.722014
3.7,48,115.579319
5.9,70,126.577247
3.0,41,131.401832
2.9,40,136.137487
0.5,16,140.860173
5.9,70,149.783242
2.6,37,154.524022
1.2,23,160.420809
5.6,67,169.031404
8.4,95,184.001758
2.6,37,188.687914
3.5,46,197.145046
2.6,37,201.901837
4.1,52,208.596541
6.5,76,221.468989
3.7,48,227.791547
9.0,101,243.893187
2.7,38,248.732358
6.8,79,261.440142
2.8,39,266.191623
2.9,40,270.899093
1.2,23,276.623568
3.7,48,282.339443
4.8,59,292.48045
2.7,38,297.223401
2.7,38,302.118628
2.6,37,306.938502
0.4,15,311.888064
3.6,47,318.039225
2.6,37,322.883111
2.5,36,327.670968
1.2,23,333.44325
2.6,37,338.203227
2.5,36,342.968741
2.4,35,347.722786
0.5,16,352.481196
5.3,64,360.329485
3.3,44,365.921525
0.5,16,370.659694
3.9,50,376.482465
2.7,38,381.153611
6.0,71,392.413628
3.8,49,398.187761
3.0,41,405.694747
3.8,49,411.410769
3.0,41,416.172638
6.8,79,428.341885
3.0,41,433.315441
2.6,37,438.00711
1.6,27,443.835871
4.4,55,450.269223
3.0,41,455.06199
1.6,27,460.948197
2.9,40,465.651057
6.4,75,477.141305
5.0,61,484.886183
4.8,59,491.938465
0.3,14,496.677729
2.5,36,501.355678
3.2,43,506.818925
3.2,43,515.125205
2.9,40,520.675861
3.0,41,526.283394
2.2,33,530.961692
0.3,14,535.796244
2.6,37,540.632102
3.3,44,546.366681
3.6,47,555.194497
2.6,37,559.875049
5.8,69,568.546961
4.9,60,578.900226
2.5,36,583.605812
3.2,43,589.264235
1.0,21,594.807973
5.6,67,603.325826
2.4,35,608.107346
0.5,16,613.119808
2.4,35,617.795865
5.1,62,625.954857
5.7,68,637.491434
5.4,65,645.937344
1.5,26,652.112154
4.3,54,659.228414
2.6,37,664.088738
6.2,73,676.531371
3.2,43,682.232414
2.4,35,687.002414
0.3,14,691.762496
3.2,43,697.380253
2.6,37,702.063349
3.4,45,707.870283
0.2,13,712.585923
2.4,35,717.263179
6.5,76,727.429376
2.3,34,734.771994
3.1,42,740.620562
2.3,34,745.425235
7.0,81,759.268727
3.3,44,765.20514
5.4,65,776.232768
2.6,37,780.976159
2.6,37,785.76111
0.6,17,790.83325
2.5,36,795.620955
2.6,37,800.445771
2.6,37,805.192538
0.7,18,810.162493
2.4,35,814.924467
2.6,37,819.699186
2.4,35,824.412605
7.0,81,838.059841
4.2,53,845.021069
0.4,15,849.837995
3.8,49,856.436685
3.0,41,862.14875
7.0,81,875.936771
3.7,48,882.492417
2.4,35,887.185349
1.0,21,892.808124
2.3,34,897.481893
2.3,34,902.19038
6.5,76,915.354157
2.4,35,920.275603
2.3,34,925.041928
4.8,59,935.863506
2.2,33,940.66767
3.5,46,946.97318
0.3,14,951.762766
3.1,42,957.504602
2.5,36,962.446318
2.9,40,968.169464
0.3,14,972.878377
3.1,42,978.833986
2.4,35,983.672079
2.2,33,988.397637
0.3,14,993.178373
4.8,59,1001.486998
2.9,40,1007.125481
1.8,29,1013.81595
4.0,51,1020.993319
2.3,34,1025.66865
8.3,94,1041.815505
3.0,41,1047.508749
5.9,70,1059.758168
3.1,42,1065.55737
3.1,42,1071.438655
0.9,20,1077.299141
2.9,40,1083.022853
2.3,34,1087.720413
6.8,79,1101.386453
2.5,36,1106.151836
2.3,34,1110.816056
