#{"t_start": 1605599460.521138, "env_id": "ChromeDino-v0"}
r,l,t
6.4,75,13.953059
4.3,54,20.841169
8.3,94,28.344591
2.3,34,33.303691
6.9,80,39.546077
16.4,175,56.699022
19.7,208,80.446059
16.6,177,100.499011
11.6,127,110.626434
2.2,33,115.766574
34.1,352,150.38079
7.4,85,156.662417
3.2,43,162.956962
11.7,128,174.469033
11.7,128,186.061658
6.4,75,191.053643
4.2,53,200.335867
8.9,100,208.963675
1.7,28,214.050409
11.7,128,227.301544
11.0,121,236.962275
4.3,54,244.401518
19.8,209,267.899107
11.7,128,280.80285
11.7,128,293.732653
11.7,128,305.774735
8.8,99,312.696615
1.8,29,317.683367
11.7,128,329.34503
11.7,128,340.386912
11.7,128,352.314259
11.7,128,363.700265
11.7,128,375.031472
11.7,128,386.507885
8.1,92,392.678247
2.5,36,397.923912
22.0,231,415.300598
2.0,31,420.365323
23.9,250,443.016677
11.7,128,455.223428
11.7,128,466.716965
11.7,128,478.243542
11.7,128,489.903857
11.7,128,501.836319
24.5,256,526.115329
11.7,128,537.954332
11.7,128,550.103254
7.5,86,556.247253
3.1,42,562.623885
11.7,128,575.557591
5.6,67,580.604999
17.8,189,601.312335
9.2,103,609.112245
1.8,29,614.180265
24.1,252,640.245479
24.5,256,670.018889
62.9,640,737.451695
11.7,128,752.04061
11.7,128,766.769572
11.7,128,781.925757
11.7,128,796.346838
37.3,384,839.814775
20.3,214,860.864551
3.1,42,866.983159
11.7,128,880.944242
4.8,59,885.998294
18.6,197,908.667778
11.7,128,922.132146
24.5,256,950.947797
11.7,128,965.08773
37.3,384,1012.873726
24.5,256,1042.512587
24.5,256,1071.490469
11.7,128,1084.977458
11.7,128,1099.631085
11.7,128,1115.058787
11.7,128,1130.185874
10.2,113,1142.554917
1.4,25,1147.584122
113.0,1141,1250.006589
24.6,257,1275.480118
9.6,107,1282.913799
1.0,21,1287.736455
37.3,384,1325.902713
24.5,256,1352.144678
11.7,128,1365.523721
24.5,256,1391.8284
24.5,256,1418.960585
101.3,1024,1531.625326
17.6,187,1550.18384
5.8,69,1559.634647
21.0,221,1581.110624
22.2,233,1607.420503
30.3,314,1645.516622
24.5,256,1673.943886
11.7,128,1688.177912
10.2,113,1698.383317
13.2,143,1717.207093
44.8,459,1769.658103
4.2,53,1778.557411
36.0,371,1820.103668
25.8,269,1855.181131
18.2,193,1876.317944
13.2,143,1892.82534
3.7,48,1900.402748
11.7,128,1915.332788
8.9,100,1925.728196
1.7,28,1931.090499
17.2,183,1951.305574
19.0,201,1977.628867
37.3,384,2025.147575
11.7,128,2041.237468
11.7,128,2056.659154
11.7,128,2071.557419
11.7,128,2086.240001
11.7,128,2101.050586
10.8,119,2111.573677
8.6,97,2125.681012
15.7,168,2146.293049
5.7,68,2152.149643
30.5,316,2190.399521
6.9,80,2196.439931
29.3,304,2231.398763
11.7,128,2245.947001
50.1,512,2299.91516
11.7,128,2311.559114
24.5,256,2336.365457
24.5,256,2360.856418
11.7,128,2373.567926
11.7,128,2385.254609
11.7,128,2397.838087
24.5,256,2421.636654
11.7,128,2433.22914
11.7,128,2444.994848
24.5,256,2469.231613
24.5,256,2492.977331
11.7,128,2504.982872
11.7,128,2516.77234
11.7,128,2528.150257
11.7,128,2540.183691
11.7,128,2551.875462
11.7,128,2563.554394
37.3,384,2600.522575
24.5,256,2625.254737
62.9,640,2684.939217
11.7,128,2696.406035
11.7,128,2708.046277
75.7,768,2780.67468
24.5,256,2804.29991
37.3,384,2841.007715
24.5,256,2865.760061
24.5,256,2890.180966
19.4,205,2908.103346
4.0,51,2914.154242
11.7,128,2925.826947
24.5,256,2948.674239
11.7,128,2960.264784
11.7,128,2971.561588
11.7,128,2983.010613
11.7,128,2996.292502
11.7,128,3009.142458
24.5,256,3032.85792
6.7,78,3037.622109
29.5,306,3067.762205
37.3,384,3103.618851
11.7,128,3115.932339
11.7,128,3127.332616
11.7,128,3140.614841
11.2,123,3150.679048
1.9,30,3155.617099
5.3,64,3160.462732
41.2,423,3208.083659
18.2,193,3226.970079
11.2,123,3240.786202
14.1,152,3257.031695
16.1,172,3277.608803
11.7,128,3291.158255
11.7,128,3304.259168
11.7,128,3316.762789
11.7,128,3328.822478
11.7,128,3341.473241
37.3,384,3379.0925
11.7,128,3391.574455
11.7,128,3404.230568
37.3,384,3444.390551
11.7,128,3458.772312
10.1,112,3469.241079
26.1,272,3504.258752
11.7,128,3519.346246
50.1,512,3577.14617
24.5,256,3604.011477
88.5,896,3692.511771
11.7,128,3705.111725
8.4,95,3711.932588
2.2,33,3717.526269
11.7,128,3730.27595
10.7,118,3739.887833
7.5,86,3749.550589
16.9,180,3771.510617
7.9,90,3779.44719
2.7,38,3785.490102
11.7,128,3797.962763
50.1,512,3855.080932
11.7,128,3868.811
23.0,241,3891.921098
51.6,527,3950.545963
23.5,246,3974.605755
12.7,138,3993.813346
37.3,384,4040.458431
11.7,128,4057.043588
11.7,128,4072.854748
24.5,256,4103.092733
6.6,77,4110.297682
16.8,179,4133.717443
11.7,128,4147.443292
11.7,128,4161.585223
36.1,372,4200.139343
20.1,212,4222.634888
4.5,56,4230.779291
8.6,97,4239.678617
2.0,31,4245.419403
24.5,256,4273.259839
19.2,203,4290.940744
17.0,181,4310.841128
11.7,128,4323.720066
8.2,93,4330.345068
2.4,35,4335.989553
24.5,256,4362.002528
24.5,256,4391.463029
7.7,88,4399.357881
2.9,40,4406.166505
37.3,384,4449.06151
11.7,128,4462.198713
11.7,128,4475.274137
62.0,631,4539.651811
3.0,41,4545.807715
46.9,480,4596.011607
37.3,384,4634.129588
24.5,256,4661.758484
18.8,199,4682.531163
24.7,258,4709.87557
4.4,55,4717.776982
62.9,640,4779.541653
37.3,384,4818.478364
11.2,123,4827.969784
7.8,89,4838.603455
3.3,44,4844.945999
11.7,128,4858.910729
11.7,128,4871.437242
11.7,128,4884.190267
11.7,128,4896.500978
6.7,78,4901.294712
3.9,50,4908.465189
24.5,256,4934.307201
11.7,128,4947.238572
11.7,128,4959.069803
11.7,128,4970.999691
11.7,128,4983.297209
11.7,128,4996.082382
24.5,256,5022.553805
8.2,93,5029.72346
2.4,35,5035.459038
11.7,128,5050.241789
24.5,256,5078.34603
11.7,128,5091.708054
19.6,207,5111.361748
16.6,177,5133.807753
62.9,640,5204.255868
9.8,109,5213.266208
4.4,55,5220.23465
20.9,220,5244.74947
22.9,240,5267.030772
1.5,26,5271.966861
6.0,71,5276.771964
3.6,47,5283.411508
50.1,512,5334.307073
37.3,384,5372.33719
24.5,256,5396.164549
11.7,128,5408.80099
8.3,94,5415.62075
2.3,34,5421.099322
11.7,128,5432.680298
11.7,128,5444.174689
37.3,384,5479.326585
11.7,128,5491.307723
22.2,233,5511.255129
1.2,23,5516.238565
11.7,128,5528.704742
37.3,384,5565.954184
37.3,384,5602.89844
11.7,128,5614.796116
11.7,128,5627.246878
11.7,128,5639.120691
11.7,128,5650.916655
11.7,128,5662.392593
24.5,256,5686.793389
7.9,90,5692.601428
2.7,38,5698.234809
11.7,128,5710.273071
