#{"t_start": 1605599457.3291245, "env_id": "ChromeDino-v0"}
r,l,t
5.8,69,16.719323
29.2,303,45.247824
3.6,47,51.801598
7.0,81,58.826773
13.0,141,77.576568
7.1,82,83.974404
3.5,46,90.179881
11.7,128,103.673058
10.1,112,112.508646
1.7,28,117.669757
48.9,500,166.126236
11.7,128,177.6411
10.2,113,185.229851
2.2,33,190.410261
9.3,104,199.591881
5.1,62,208.798654
6.1,72,217.216492
11.7,128,230.472613
9.4,105,238.735447
1.2,23,243.751591
36.2,373,279.667119
25.6,267,308.944153
10.4,115,317.139367
2.4,35,322.205498
9.5,106,332.518095
24.5,256,355.487323
11.7,128,366.868342
11.0,121,374.891691
3.9,50,380.756939
7.4,85,389.680948
11.7,128,401.094921
11.7,128,412.245231
11.7,128,423.066161
7.2,83,428.114371
3.4,45,434.259363
6.2,73,439.272185
4.4,55,446.18671
50.1,512,493.074927
11.7,128,505.006392
11.7,128,517.064917
11.7,128,529.287311
11.7,128,541.126232
11.7,128,553.276074
24.5,256,578.727663
24.5,256,604.481293
11.7,128,616.968911
11.7,128,630.479089
22.1,232,652.924059
3.0,41,659.068151
10.0,111,673.188962
24.5,256,700.251945
24.5,256,727.511581
11.7,128,740.624753
7.3,84,747.726996
3.3,44,755.210683
11.7,128,769.941638
9.4,105,780.085051
1.2,23,785.098565
24.5,256,813.826353
11.7,128,828.858415
23.1,242,853.808885
13.1,142,870.155226
6.1,72,876.077148
4.5,56,884.114313
24.5,256,911.837851
24.5,256,940.18745
21.2,223,962.194206
2.2,33,968.257802
11.7,128,983.819195
5.4,65,989.949522
5.1,62,996.199089
2.1,32,1002.790742
34.2,353,1045.683657
19.2,203,1066.647168
4.2,53,1074.663534
11.7,128,1088.15049
24.5,256,1118.230854
11.7,128,1133.358938
20.2,213,1157.602731
9.7,108,1168.654812
18.0,191,1186.787864
11.7,128,1196.732928
11.7,128,1208.978215
5.9,70,1213.81492
17.5,186,1233.670719
11.7,128,1244.529866
11.7,128,1256.034639
24.5,256,1278.65217
11.7,128,1290.903535
11.7,128,1303.45699
10.3,114,1311.661902
25.9,270,1342.138533
11.7,128,1355.315759
50.1,512,1408.897912
37.3,384,1448.987286
11.7,128,1462.886851
11.7,128,1476.74649
24.5,256,1505.733012
30.4,315,1539.553268
5.8,69,1548.572876
11.7,128,1562.804719
11.7,128,1576.762513
11.7,128,1590.231643
11.7,128,1604.531808
11.7,128,1618.749806
11.7,128,1633.181685
18.6,197,1654.524317
112.8,1139,1787.223463
6.1,72,1797.329718
7.1,82,1805.441602
3.5,46,1812.492361
11.7,128,1827.515165
22.5,236,1853.745136
9.7,108,1867.130431
40.4,415,1915.046394
12.6,137,1934.261568
11.7,128,1949.706061
11.7,128,1964.850174
11.7,128,1980.798939
50.1,512,2044.409525
5.1,62,2050.490642
18.3,194,2074.727491
24.5,256,2104.221777
11.7,128,2119.070652
3.4,45,2123.873728
6.6,77,2132.163313
36.7,378,2173.597841
23.1,242,2201.921358
1.5,26,2207.13426
11.7,128,2220.1734
11.7,128,2234.57083
11.7,128,2249.120035
11.7,128,2262.910073
11.7,128,2277.458194
11.7,128,2290.158401
8.6,97,2297.687167
2.0,31,2303.08922
11.7,128,2314.732541
24.5,256,2339.537523
24.5,256,2364.029484
11.4,125,2373.840176
5.3,64,2380.749612
5.6,67,2388.42765
20.0,211,2406.803017
29.0,301,2436.401208
11.7,128,2448.166915
11.7,128,2460.609453
24.5,256,2484.905514
8.1,92,2490.748796
2.5,36,2496.150395
11.7,128,2508.156906
50.1,512,2555.048527
11.7,128,2566.728455
24.5,256,2590.890915
11.7,128,2603.695434
50.1,512,2652.47885
11.7,128,2664.051093
11.7,128,2676.105976
11.7,128,2688.112283
11.7,128,2699.576096
11.7,128,2711.216349
24.5,256,2734.62744
24.5,256,2759.379182
11.7,128,2772.067168
11.7,128,2783.848741
24.5,256,2807.472009
11.7,128,2819.379924
24.5,256,2844.180779
20.7,218,2862.841642
2.7,38,2868.920159
11.7,128,2881.551928
32.8,339,2911.74125
3.4,45,2917.327352
11.7,128,2928.99899
10.0,111,2936.114824
3.6,47,2942.063545
8.7,98,2951.846306
24.5,256,2974.729666
62.9,640,3036.029985
11.7,128,3047.176484
11.7,128,3058.936583
11.7,128,3070.934272
24.5,256,3094.470178
11.7,128,3106.785931
11.7,128,3119.105404
11.7,128,3130.505877
11.7,128,3143.785911
11.7,128,3157.178302
11.7,128,3170.020068
7.5,86,3176.562517
3.1,42,3183.221557
11.7,128,3197.38756
11.7,128,3211.256971
24.5,256,3239.193656
50.1,512,3294.326282
5.7,68,3299.114812
17.7,188,3319.93514
11.7,128,3331.996368
24.5,256,3357.351406
11.7,128,3369.402538
11.7,128,3382.265917
6.1,72,3387.081973
4.5,56,3394.74651
11.7,128,3407.403633
24.5,256,3433.97921
11.7,128,3447.564612
10.0,111,3457.609866
13.4,145,3476.691566
37.3,384,3522.518308
24.5,256,3550.970823
11.7,128,3565.157871
10.8,119,3576.603579
12.6,137,3594.327005
5.4,65,3599.117305
17.3,184,3617.310267
12.4,135,3634.437886
11.7,128,3646.8854
11.7,128,3659.814894
11.7,128,3672.110225
11.7,128,3683.986758
8.4,95,3690.263791
2.2,33,3695.683904
