#{"t_start": 1605798520.8176, "env_id": "ChromeDino-v0"}
r,l,t
29.42,315,44.144554
9.81,119,59.333689
-8.6,36,64.511688
-8.33,38,69.459823
-11.55,5,74.769406
8.07,104,86.679695
-9.69,24,94.093547
12.75,256,131.551024
7.18,94,141.592761
3.71,162,167.993294
0.37,128,186.69068
1.99,41,191.64307
-7.86,42,196.600534
-7.59,45,206.097325
-8.16,39,211.128622
-8.52,36,216.155195
-6.9,53,228.064977
1.59,37,233.006239
-3.67,86,244.154722
-11.53,5,249.372806
-7.75,44,255.747092
-4.86,74,267.425579
-11.05,10,273.444553
-8.91,32,278.357735
-7.34,48,285.766062
-7.38,48,297.397256
1.18,33,302.356456
2.21,148,327.796786
-8.39,37,333.912914
17.11,201,372.765348
-5.35,69,383.079468
-9.69,24,390.834218
-8.11,40,396.921311
-8.49,36,401.90292
-7.03,52,413.530612
-2.83,95,428.295619
-11.42,6,433.419678
-11.4,6,438.238984
-9.98,21,447.570436
8.72,112,465.069107
-10.49,16,471.742577
-6.01,62,480.55205
2.22,44,486.96857
2.38,150,517.015275
8.0,106,533.137633
2.31,150,564.007505
0.27,128,586.662123
20.68,236,624.504443
-10.07,20,631.805664
3.57,163,659.26643
11.97,146,686.520907
-1.38,111,706.834871
5.68,80,718.592641
-10.85,12,724.358995
4.61,69,734.118981
-6.35,59,747.201781
9.67,122,765.192278
-11.46,6,770.408586
-3.27,91,783.936077
5.42,77,798.592979
-6.85,53,806.019557
-2.69,96,822.878876
-5.47,67,836.831503
4.44,67,846.250906
-8.89,32,851.320445
-9.16,29,860.0434
7.76,102,875.030484
-9.51,26,883.118121
0.14,128,905.70342
5.55,79,917.235251
-7.21,49,928.237159
21.5,246,967.736527
-11.03,10,973.33534
-6.6,57,981.978575
-5.15,71,997.112301
-7.18,50,1004.206355
-4.57,78,1020.646034
21.21,244,1062.099526
-10.84,12,1068.368667
20.97,347,1128.810291
15.5,289,1180.285829
-11.6,4,1185.51545
7.83,209,1221.464213
-7.5,47,1233.401051
7.82,103,1249.655281
-9.57,25,1257.397287
-4.86,74,1267.720936
1.39,36,1273.103203
-10.29,18,1279.920031
4.45,67,1289.800757
-8.44,38,1295.741691
23.69,268,1342.954718
-10.93,11,1348.833599
0.27,128,1370.814431
36.81,510,1454.115645
-11.7,3,1458.844087
-9.15,30,1463.805094
5.28,76,1475.781141
6.16,189,1511.804619
-5.99,63,1521.838981
-6.41,58,1534.844814
-3.57,88,1548.491436
