#{"t_start": 1605798507.6029935, "env_id": "ChromeDino-v0"}
r,l,t
9.4,116,30.340992
14.57,269,67.48342
-4.09,80,76.812862
-7.46,46,83.036791
-11.8,2,87.860298
-5.69,64,95.169265
-5.71,64,107.204446
12.81,256,144.644818
-7.28,48,149.637155
-4.26,80,162.895404
0.3,128,181.105175
-3.64,86,190.785759
11.42,243,228.86932
-8.38,37,233.851146
-10.25,18,241.13098
0.19,128,262.460026
3.38,57,271.273363
-5.28,71,286.494075
-7.28,49,293.98013
-4.35,79,310.469735
3.1,53,318.252356
-8.69,35,323.22634
-8.19,40,332.918528
6.9,93,347.548308
9.82,123,370.506917
-8.18,40,380.720637
-1.99,105,396.39281
-9.75,23,403.913187
-3.14,92,417.206714
-5.23,71,431.690402
-9.05,31,436.684983
0.91,30,441.96081
-11.44,6,446.812303
-11.4,6,451.639348
-6.18,61,467.014446
-3.72,87,484.824238
7.66,101,499.320466
-9.36,27,507.489686
0.32,128,530.110345
3.73,60,539.077261
-5.76,65,548.882415
-11.6,4,554.034025
14.71,174,583.937139
-4.19,81,599.735101
-5.69,66,609.954982
-6.41,58,617.867007
-11.61,4,622.71358
10.19,127,640.479713
5.44,79,655.969186
6.27,86,672.558861
7.31,202,708.358451
-10.26,18,714.982288
-2.23,102,729.51863
-9.53,26,737.435649
1.56,37,742.561414
-6.73,55,750.686472
-8.48,36,760.283742
-1.72,108,776.241578
-3.63,87,793.379742
-7.03,52,801.092177
-11.1,9,806.527201
0.31,128,828.013721
4.01,62,836.178209
-5.62,66,849.91238
-8.58,35,854.905802
-5.47,67,864.877268
-9.46,26,873.136323
-2.21,104,888.519026
-9.69,24,896.215061
-6.47,57,904.1807
-5.18,71,918.790871
10.38,233,956.479594
-9.79,23,963.748365
2.83,50,970.688535
12.28,149,997.159145
-6.56,57,1010.192996
7.45,99,1025.226246
-9.19,29,1033.744784
9.43,223,1071.936988
35.94,397,1144.682022
5.06,73,1159.28009
-4.78,75,1174.759148
3.85,61,1183.647078
4.0,62,1193.236645
-11.5,5,1198.600141
5.77,81,1210.583927
-7.47,47,1222.425788
19.06,223,1261.461634
8.97,114,1281.991048
14.27,171,1311.764366
-11.6,4,1316.623513
-5.65,66,1325.850088
8.22,106,1345.216074
5.1,74,1356.253902
2.71,49,1367.281738
30.64,339,1422.400853
-11.4,6,1427.488235
0.24,128,1449.677534
24.75,384,1518.600504
1.82,40,1524.853159
-6.22,61,1534.492273
1.94,145,1561.134232
-11.06,10,1567.074572
10.09,128,1590.354836
10.08,127,1609.092309
-11.91,1,1614.111123
9.83,125,1633.452586
-11.7,3,1638.208529
-4.15,82,1650.364697
