#{"t_start": 1605798514.3335567, "env_id": "ChromeDino-v0"}
r,l,t
28.0,400,62.318414
-6.84,53,68.335829
-6.25,60,81.171623
-0.77,116,94.733536
-10.88,12,100.516769
-3.13,91,111.039477
-8.35,37,119.563648
-7.53,46,124.559518
-4.09,82,137.958134
-1.29,110,150.200931
2.2,146,174.416501
-3.96,82,183.583207
-7.5,46,193.114884
-0.58,117,207.077977
-7.1,50,217.543849
-8.46,36,222.557709
-8.33,38,227.523972
0.52,129,249.370926
3.52,58,262.163634
-6.53,57,271.521526
-9.38,27,279.851278
-6.96,52,287.775805
-9.07,31,292.746343
-7.59,45,303.804507
3.05,52,311.386723
9.27,118,332.695638
-8.94,32,337.728377
-9.38,28,342.679863
-9.5,26,350.985395
8.96,113,367.369799
3.6,58,380.348617
-7.39,48,387.553668
-8.48,37,397.251439
-8.22,39,403.221662
-6.87,53,410.576881
-4.31,80,426.239969
-9.24,29,431.218529
-9.65,24,436.123386
-11.4,6,441.046081
-9.61,25,453.987849
-2.47,100,469.543482
-9.3,28,478.159857
14.66,175,507.677451
16.72,194,540.553869
-10.54,15,547.144914
-3.64,87,560.688177
-8.02,41,570.422558
2.85,51,577.955509
-4.6,77,593.074358
-6.64,57,601.827586
-1.53,109,621.028877
2.1,43,627.065961
4.69,175,660.718755
7.84,103,676.124061
-9.64,25,684.508998
3.71,165,713.459723
-3.35,91,730.775141
2.21,44,736.777123
2.43,47,743.806414
-8.42,37,753.619002
0.3,128,776.807897
0.2,128,799.857474
3.64,58,807.379287
3.63,162,833.940372
-8.55,36,843.244295
4.98,73,853.63556
1.89,41,860.007518
-10.67,14,866.466597
-7.39,48,873.360614
10.08,127,896.118964
4.25,65,905.550222
-6.84,53,917.137443
-3.25,91,934.656369
13.77,166,962.267602
-3.4,90,979.751593
-8.08,41,985.95122
-3.71,87,1003.521276
11.11,243,1044.23737
-10.72,13,1050.657689
13.51,164,1079.846887
-7.44,47,1086.288012
3.45,162,1116.398918
-10.92,11,1122.15208
12.5,256,1168.111083
-0.37,121,1186.230223
-11.3,7,1191.936206
-0.06,125,1210.636972
-11.7,3,1215.754436
3.39,56,1224.21976
-8.65,34,1229.301746
-8.31,38,1239.811347
-6.55,57,1249.097994
-5.09,71,1263.81249
8.16,105,1278.779251
-9.79,23,1286.331986
-3.06,93,1300.092221
-8.68,35,1309.977653
21.47,245,1349.371286
-10.96,11,1355.253374
0.28,128,1377.23354
7.16,95,1390.303616
15.82,289,1443.010314
2.86,50,1449.703241
-6.12,60,1458.091216
-10.27,18,1465.096541
-6.27,60,1474.93285
19.18,324,1536.330013
-6.87,53,1544.276757
7.49,203,1583.68724
4.68,175,1615.237021
-4.25,81,1631.547288
0.24,128,1655.042876
7.63,100,1669.02769
-9.36,28,1677.717314
0.14,128,1701.807476
20.32,233,1742.309243
0.79,134,1767.447516
-0.24,123,1790.780313
14.54,278,1845.760626
0.28,128,1868.381261
