#{"t_start": 1605712592.0387998, "env_id": "ChromeDinoHandrafted_accl-v0"}
r,l,t
49.72,518,60.402313
11.08,132,75.469231
-8.25,38,79.994257
-8.54,35,84.585113
2.16,42,89.154203
2.07,41,93.78451
2.35,44,98.482351
2.82,49,103.791975
3.0,51,109.384466
4.85,70,117.185531
2.64,47,122.525621
3.34,54,128.408409
2.42,45,134.073363
3.41,55,141.185961
1.37,34,145.812217
4.36,65,154.65673
3.67,58,161.726138
-8.34,37,166.275465
6.5,87,177.332907
2.25,43,182.776845
7.28,95,193.899541
-6.13,60,201.434413
1.78,38,206.092719
6.8,90,217.816879
5.28,74,227.713445
9.73,120,243.481303
-4.73,74,253.399409
-6.2,59,260.309666
14.0,163,281.842961
11.09,133,296.613697
4.89,70,304.47048
-5.07,70,312.473274
4.8,69,321.116472
2.18,145,338.897426
16.58,190,363.154116
1.69,140,381.017211
22.39,250,413.332917
7.44,97,425.173524
9.86,121,439.189073
29.17,319,479.635565
29.02,318,521.425633
20.6,231,550.72362
9.38,116,565.079691
-3.07,91,577.292961
10.57,128,593.562644
10.23,125,609.21448
8.37,106,622.725153
2.81,151,641.72919
3.09,153,660.719774
-4.2,79,670.739633
21.82,244,701.512916
9.17,114,716.061451
7.21,94,727.7637
28.94,317,767.733107
33.78,366,813.724374
3.25,53,820.175306
4.16,63,828.098994
9.87,121,843.072255
6.07,82,853.252246
59.35,628,924.875627
46.41,495,982.375765
10.61,128,997.950466
9.89,121,1012.799796
10.26,125,1027.732517
19.78,222,1055.204811
25.74,284,1089.965339
21.08,236,1119.013985
10.77,130,1134.97719
6.56,87,1145.413855
22.83,254,1176.325645
17.28,197,1200.398743
-4.16,80,1210.066542
7.99,102,1222.35252
23.71,262,1253.893796
24.87,274,1287.407913
7.84,100,1299.352444
14.69,170,1319.975112
12.62,149,1338.132298
17.39,198,1362.139678
17.69,201,1386.770501
4.3,166,1407.428657
8.78,109,1421.233079
15.31,178,1443.756866
-8.51,35,1448.240605
1.84,142,1466.655747
5.38,75,1475.800355
9.23,115,1490.316179
8.92,112,1504.623778
16.14,186,1527.900318
35.84,392,1579.458051
18.13,207,1606.293731
8.52,108,1619.883872
8.03,103,1633.538966
4.67,68,1642.598668
22.87,256,1675.061026
5.83,80,1685.337243
11.29,136,1703.064748
18.27,208,1729.677969
26.33,292,1768.143686
22.9,256,1801.115337
16.74,192,1824.785335
-1.08,111,1839.133317
15.15,176,1861.56721
18.84,214,1889.035434
12.15,145,1907.679567
13.71,161,1928.58063
25.83,286,1964.638837
15.94,184,1987.908422
19.38,219,2014.758834
25.08,278,2049.764406
7.63,98,2062.312222
9.27,115,2076.767542
4.0,61,2084.306973
7.29,95,2096.213677
22.73,254,2128.52126
26.95,297,2166.03393
33.85,368,2212.554105
8.17,103,2225.381544
18.5,210,2252.348158
22.9,256,2284.474917
-0.93,113,2299.714838
0.02,122,2315.538794
18.58,314,2356.406456
15.34,177,2378.593914
2.24,43,2384.177434
8.54,108,2398.66416
2.74,48,2404.32937
9.0,112,2418.624276
17.63,201,2445.680246
28.16,309,2486.083748
7.72,99,2498.913322
-3.63,85,2510.121886
6.34,85,2520.529476
4.29,64,2529.325085
10.44,127,2545.839665
2.27,43,2551.250663
2.92,50,2557.509126
16.5,189,2581.979174
9.26,115,2596.636806
6.64,88,2607.686614
8.7,110,2622.574083
4.81,70,2632.555748
4.62,68,2641.630871
15.11,176,2665.587992
26.28,293,2705.925907
8.1,104,2720.064295
3.84,163,2742.202766
24.28,271,2778.8556
17.26,198,2805.31147
8.14,104,2819.814808
22.29,251,2853.771971
0.09,125,2871.950378
7.16,94,2885.276394
5.88,81,2896.010181
6.88,91,2908.89727
8.26,106,2923.827717
8.97,113,2938.977776
17.81,205,2967.71176
21.54,242,2999.61327
16.77,193,3025.54412
11.28,136,3043.235908
11.09,134,3061.25538
6.31,85,3072.096103
6.42,86,3082.931896
11.11,134,3100.561501
11.2,135,3118.669207
-2.91,93,3131.443415
2.25,43,3136.943225
23.82,266,3173.165128
5.74,79,3183.364879
7.25,95,3196.831156
5.8,80,3208.04117
3.29,54,3215.706995
1.95,40,3221.080702
