#{"t_start": 1605828611.1609683, "env_id": "ChromeDinoHandrafted_accl-v0"}
r,l,t
0.81,30,18.270538
-9.53,26,22.963359
0.56,27,27.607138
2.1,43,35.247101
-10.31,18,40.064382
-9.96,22,44.729851
0.65,28,49.490017
1.45,37,55.125077
1.49,37,60.830368
-9.07,31,65.531927
2.14,44,72.253656
-8.13,41,78.479041
1.71,39,84.14533
2.0,42,90.568029
-8.94,32,95.353973
1.01,32,100.328336
-9.09,31,105.112671
1.48,37,110.761464
1.79,40,116.577168
1.69,39,122.437134
-9.06,31,127.087079
0.9,31,131.921211
-9.15,30,136.574901
-9.05,31,141.321647
1.41,36,147.051453
2.1,43,153.893359
2.75,50,161.314467
2.71,50,168.447192
0.9,31,173.198869
-9.08,31,177.912125
-6.28,60,186.777061
1.34,35,191.511698
1.59,38,197.046138
1.57,38,202.701152
2.27,45,209.232174
-8.11,41,215.246836
-8.32,39,221.045982
1.1,33,225.799888
-8.73,34,230.463723
1.71,39,236.144617
-8.33,39,242.064442
-8.88,33,246.780051
-8.0,42,253.971047
1.73,40,261.173095
-9.31,28,265.853916
0.79,29,270.740199
-8.03,42,278.105257
2.64,49,286.336242
-9.5,26,290.886297
0.15,23,295.31146
0.35,25,299.6945
-9.57,26,304.157506
-9.66,25,308.541348
-9.54,26,312.863231
1.4,36,318.683331
-9.35,28,323.137961
-9.46,27,327.609226
2.8,52,335.78949
1.75,40,341.795233
-9.37,28,346.152058
1.59,38,352.168142
-7.74,45,359.415084
1.67,39,365.401207
-8.74,34,370.695605
-9.38,28,375.028908
-8.88,33,380.308823
-8.68,35,385.64066
-9.28,29,390.068337
2.29,45,396.901956
0.76,29,401.377764
-9.23,29,405.766354
2.46,48,413.206477
0.65,28,417.70729
2.38,47,425.506308
1.06,33,430.961134
2.89,52,439.341599
1.15,34,444.740905
-9.1,31,449.936516
-8.93,33,455.458387
-9.43,27,459.808653
0.52,27,464.295037
-9.47,27,468.676652
-8.06,42,475.653921
0.45,26,480.03932
1.12,34,486.212441
0.67,29,491.478019
1.13,34,497.261584
-9.59,26,501.737452
-7.94,44,509.245286
0.75,30,514.702647
0.28,25,519.212943
0.34,25,523.767895
0.92,32,529.706396
1.4,37,536.337873
-9.71,25,540.781325
-9.6,26,545.264376
-9.67,25,549.735758
0.67,29,555.006602
-9.72,25,559.352474
-9.03,32,564.704783
1.22,35,570.805281
