#{"t_start": 1605828607.9232032, "env_id": "ChromeDinoHandrafted_accl-v0"}
r,l,t
-9.62,25,20.468085
-9.64,25,25.130529
0.68,28,29.922585
-9.27,29,35.348302
1.02,32,42.002291
-8.84,33,49.010617
2.11,43,55.847037
-9.19,30,60.508389
-9.04,31,65.20623
-9.06,31,69.939853
-9.01,31,74.650706
1.51,37,80.362483
-6.93,54,88.26775
1.39,36,93.770887
-8.99,32,98.539877
1.47,37,104.341048
-6.52,59,113.37588
1.67,39,119.063887
1.04,32,123.805137
-8.34,38,129.478664
-7.65,46,136.675777
0.85,30,141.453026
-9.04,31,146.156181
2.74,50,154.142336
-9.17,30,158.834901
1.15,33,163.634099
-8.22,40,169.402292
1.66,39,175.205761
1.05,32,180.104181
-8.32,39,185.826135
-8.97,32,190.620191
-7.76,44,196.643891
2.34,45,203.113524
-8.95,32,207.932606
1.71,39,213.639643
-8.24,39,219.286345
-8.95,32,224.072831
1.14,33,228.853147
2.48,47,235.468647
1.65,39,241.162868
1.51,37,246.714997
-8.96,32,251.430282
-8.19,40,258.491475
-9.56,26,263.147668
-8.47,37,269.498402
1.31,35,275.368957
0.62,28,280.233452
1.24,34,286.039547
-8.29,39,292.67974
-9.72,24,297.27881
0.69,28,302.108726
-9.46,27,306.8618
-9.46,27,311.535257
3.09,54,320.446941
-7.39,49,328.274434
0.71,29,332.992263
0.79,30,337.769743
1.04,32,342.506394
-7.32,50,350.321079
0.81,30,355.025552
1.72,40,361.443308
1.29,35,366.90248
0.92,31,371.644953
-8.05,42,378.212818
0.83,30,383.061668
0.93,31,387.811643
1.06,32,392.657303
-9.06,31,397.418577
1.06,32,402.26507
0.82,30,406.933717
1.09,32,411.690073
-8.46,37,417.535347
0.71,29,422.31315
2.56,48,430.252129
-8.67,35,436.046975
1.36,36,441.758363
-9.16,30,446.450099
0.65,28,451.10516
-8.18,41,457.975873
1.84,41,464.64763
1.31,35,470.412961
0.73,29,475.220916
0.6,28,479.884587
1.15,34,485.803008
2.09,45,493.936694
0.48,27,498.636039
-9.45,27,503.284866
-9.39,28,508.051802
-7.56,48,516.521546
-8.35,39,523.533881
0.37,26,528.288843
2.19,45,536.380869
-8.05,43,544.198181
1.13,34,550.03532
1.41,37,556.647592
0.48,27,561.47114
0.69,29,566.317025
1.05,33,572.021134
0.6,28,576.846388
1.15,34,582.620219
1.07,33,588.260193
-9.49,27,592.913332
2.67,51,601.859196
-8.99,33,607.598179
-9.47,27,612.361127
0.61,28,617.09952
0.35,26,621.768201
-7.77,46,629.92126
0.48,27,634.662231
-8.85,34,640.531063
-8.54,37,647.061059
-8.99,33,652.842237
-8.96,33,658.558446
1.77,41,665.677223
0.42,26,670.417111
3.06,55,680.035463
1.2,35,686.316375
-9.51,27,691.018356
-9.4,28,695.786246
0.38,26,700.497756
-8.97,33,706.302455
-9.48,27,710.948417
1.91,42,718.236504
1.05,33,723.851251
0.87,31,729.37925
-9.38,28,734.144014
0.93,32,739.963708
-8.78,34,745.78635
0.72,29,750.527012
1.52,38,757.161289
2.81,52,766.024425
0.51,27,770.804328
-7.64,47,778.92839
0.81,30,783.813375
1.35,36,789.856093
-8.74,35,795.634068
1.3,35,801.505351
-9.4,28,806.247871
-9.32,29,810.913171
-8.49,38,817.556226
0.71,29,822.400223
0.8,30,827.332521
0.67,29,832.108562
1.1,32,836.925387
0.99,32,841.809414
1.42,36,847.598473
0.91,31,852.393371
0.79,30,857.16748
-9.34,28,861.868007
0.91,31,866.603076
1.09,32,871.321421
1.52,37,876.977906
1.06,32,881.766712
0.92,31,886.517224
1.0,32,891.43888
-8.89,32,896.102843
1.57,38,901.853822
-9.04,31,906.514495
0.99,32,911.383397
3.94,63,921.291819
0.93,31,926.125762
1.02,32,930.913372
-8.65,36,936.437281
-7.28,50,943.943395
1.75,40,950.277613
3.58,60,960.333509
1.95,42,966.835539
0.64,28,971.5594
2.22,45,978.975613
0.79,29,983.704434
2.12,44,990.619371
-8.6,36,996.305203
-6.94,54,1005.103647
-9.16,30,1009.8204
0.85,30,1014.635091
-9.23,29,1019.338452
0.62,28,1024.075027
-7.11,52,1032.406167
0.97,31,1037.171053
-8.59,36,1042.945553
0.87,31,1047.757382
1.04,32,1052.582681
1.89,41,1059.043385
-8.14,41,1065.827938
1.26,35,1071.531996
1.45,36,1077.273467
-8.59,36,1083.093238
2.02,43,1090.155724
0.94,31,1094.891659
0.87,30,1099.674826
-7.24,50,1107.227414
0.95,31,1111.930433
-9.18,30,1116.633459
1.46,37,1122.496001
-8.73,35,1128.328542
1.15,34,1134.078512
0.75,29,1138.769571
-9.34,28,1143.411714
0.95,31,1148.228741
0.93,31,1152.994633
-6.57,58,1162.165458
0.95,31,1166.980689
-8.74,35,1172.618531
4.17,66,1183.554541
1.64,39,1190.054017
2.3,46,1197.423002
1.59,38,1203.195261
0.8,30,1208.057564
-9.18,30,1212.880781
0.64,28,1217.530374
2.74,51,1225.682699
0.71,29,1230.424586
2.96,53,1239.20371
-9.38,28,1243.853912
0.83,30,1248.588808
0.82,30,1253.390856
3.26,56,1261.964266
-8.27,40,1268.365576
-9.04,31,1273.016829
-8.31,39,1279.035954
2.21,45,1286.174117
0.76,29,1290.866132
1.98,42,1297.388144
0.93,31,1302.124619
3.4,58,1310.973183
1.7,39,1316.603822
1.17,33,1321.339805
1.44,37,1327.111514
2.69,50,1334.955852
-9.01,31,1339.710253
-8.41,38,1345.957958
0.97,31,1350.710825
1.01,32,1355.567634
1.34,36,1361.252635
-8.06,42,1367.771654
-8.46,37,1373.715892
1.54,38,1380.132251
0.95,31,1386.967177
-8.15,41,1395.507688
0.08,22,1401.727035
-9.91,22,1406.389666
-7.55,47,1415.874372
0.72,29,1421.669498
-9.61,25,1426.335273
1.57,37,1432.177619
-9.14,30,1436.840612
1.12,32,1441.660789
-6.71,56,1450.496212
-8.42,37,1456.455395
-8.64,35,1461.219941
1.84,40,1467.054593
-8.99,31,1471.82416
-6.8,55,1481.264516
1.87,41,1488.631609
-7.7,45,1496.053423
-9.3,28,1500.724538
0.97,31,1505.451697
1.17,33,1510.258716
1.11,32,1514.997827
-9.18,29,1519.75384
-9.46,27,1524.479271
-8.88,32,1529.129755
1.6,38,1534.69637
-8.46,37,1540.633609
-9.52,26,1545.342082
0.67,28,1550.090415
0.6,27,1554.928406
1.51,37,1560.744344
1.25,34,1566.499329
0.78,29,1571.223938
-9.51,26,1575.884281
1.86,41,1583.305717
1.09,32,1588.078761
1.37,36,1594.273224
-7.64,46,1601.542365
-8.45,37,1607.130313
2.31,45,1613.733563
1.06,32,1618.459476
-8.83,33,1623.220912
1.84,40,1628.869154
-8.73,34,1633.587594
2.35,46,1640.120862
4.7,70,1650.240001
1.97,41,1656.000107
2.79,50,1663.246913
1.21,33,1668.031735
1.32,34,1672.775842
1.32,34,1677.488369
4.58,68,1686.821029
1.51,36,1691.59258
1.4,35,1696.361906
-7.46,47,1702.804156
1.51,36,1707.626214
1.31,34,1712.327804
1.38,35,1717.203994
1.42,35,1722.023339
2.35,45,1728.358954
1.43,35,1733.049384
-5.9,64,1741.937233
1.75,38,1746.811988
-6.82,54,1754.325048
1.73,38,1759.130711
-8.48,36,1763.834106
-8.49,36,1768.551063
-8.5,36,1773.293095
5.42,78,1784.571973
2.3,44,1790.324069
1.68,38,1795.767952
1.52,36,1800.535659
7.02,94,1813.349871
1.55,36,1818.139257
5.35,77,1829.372186
-8.6,35,1834.069323
2.67,48,1840.586475
-8.76,33,1845.32322
-8.7,34,1850.034319
1.19,33,1854.70212
4.01,63,1863.710178
1.26,34,1868.512812
1.13,32,1873.303047
1.96,41,1878.985077
1.08,32,1883.678437
1.55,37,1889.270048
1.18,33,1893.994942
1.17,33,1898.793396
1.5,36,1903.666579
1.39,35,1908.499249
4.25,65,1917.33195
2.66,48,1923.870695
1.38,35,1928.612034
1.88,40,1934.107264
1.17,33,1938.884656
1.51,36,1943.667775
3.38,56,1951.123997
2.13,43,1956.764017
-8.59,35,1961.51561
1.5,36,1966.301537
-8.33,37,1970.947267
-8.82,33,1975.657099
1.66,38,1981.146469
1.5,36,1985.93333
1.51,36,1990.651092
1.39,35,1995.392291
2.82,50,2001.731752
-7.74,45,2008.163226
2.38,45,2014.174294
1.73,38,2018.935439
1.62,37,2023.635696
4.53,67,2032.705235
2.44,46,2038.794339
2.09,42,2044.34021
1.62,37,2049.127687
1.3,34,2053.980811
1.72,38,2058.814292
3.31,55,2065.935608
2.54,47,2072.113401
-6.24,60,2080.449591
1.72,38,2085.250662
1.69,38,2090.084364
2.45,46,2096.313419
-8.25,38,2100.98441
1.98,41,2106.512157
2.61,47,2112.341841
2.92,51,2118.807546
2.09,42,2124.533023
6.25,86,2136.691019
3.16,53,2144.246837
2.76,49,2150.698434
1.63,37,2155.49039
1.62,37,2160.305109
1.63,37,2165.071231
-7.02,51,2171.56556
2.51,46,2177.6059
1.83,39,2183.27938
1.63,37,2187.99522
1.64,37,2192.744821
3.41,56,2200.189635
6.17,85,2211.436881
3.53,57,2218.981264
1.7,38,2224.490493
2.21,43,2230.328296
-6.44,57,2237.67264
4.6,68,2246.417661
2.19,43,2252.022439
1.83,39,2256.917195
1.63,37,2261.653469
1.52,36,2266.463034
2.56,47,2272.389678
1.85,39,2277.193327
-7.39,47,2282.974418
-8.45,36,2287.651096
1.73,38,2292.454017
5.39,77,2302.551448
-7.46,46,2308.157999
1.75,38,2312.96824
2.39,45,2319.055762
1.72,38,2323.890047
2.19,43,2329.466871
2.6,47,2335.234618
1.84,39,2340.040181
3.42,56,2347.321581
4.62,69,2356.834449
2.3,44,2362.974678
5.32,76,2372.534594
1.85,39,2377.318629
2.05,41,2382.109227
4.62,68,2391.001405
1.55,36,2395.84272
1.75,38,2400.622608
2.0,41,2406.499726
6.12,84,2418.273579
3.57,57,2425.328473
2.8,49,2431.747231
-5.6,66,2440.546339
3.48,56,2447.974306
1.75,38,2452.834896
4.33,65,2461.514771
-7.6,45,2467.169632
1.84,39,2472.025918
1.45,35,2476.79709
-5.36,68,2485.728643
5.99,82,2496.278682
4.08,62,2504.403041
6.9,92,2516.563993
2.1,42,2522.212268
3.23,53,2528.652225
7.56,99,2541.366275
3.3,54,2548.493373
-8.12,39,2553.190569
-7.02,51,2559.993608
4.73,69,2568.456171
15.54,182,2592.803436
2.12,42,2598.575577
5.28,75,2607.88734
5.68,79,2617.799846
4.87,71,2626.836666
9.21,116,2642.110637
7.73,100,2655.466763
-8.04,40,2660.264956
