#{"t_start": 1605775880.7426884, "env_id": "ChromeDino-v0"}
r,l,t
5.01,74,16.760715
-6.76,55,29.529025
-7.72,45,37.233889
12.01,147,62.743541
-7.33,50,70.537929
-3.33,91,89.690955
1.37,35,94.902552
5.03,74,109.756784
-1.8,106,129.097251
-3.24,92,146.314133
0.16,128,169.998941
7.92,104,185.105464
-9.75,24,192.79876
-6.76,55,200.858734
3.3,56,208.61183
-10.34,17,215.022645
24.63,384,279.890941
0.28,128,301.81655
0.17,128,323.468688
73.94,896,474.342155
3.55,59,482.428688
36.76,405,551.235944
-7.44,48,561.924312
4.05,63,570.309411
-5.76,65,583.133724
0.29,128,604.643452
12.46,256,651.326322
-8.46,37,657.321356
-3.31,91,675.189572
0.25,128,697.361847
1.18,33,702.347523
9.45,223,739.556731
0.27,128,761.036167
4.54,68,770.167503
-6.24,60,782.608081
6.07,84,793.78552
4.51,172,825.571067
-1.03,115,841.413392
-10.81,13,847.63337
0.26,128,868.585362
12.39,256,913.220271
0.26,128,935.181302
38.28,422,1008.613379
8.84,218,1045.685478
12.42,256,1087.587151
0.28,128,1107.977309
14.91,178,1135.729401
4.01,167,1161.571898
-8.31,39,1170.822275
-8.48,37,1175.88299
-3.3,91,1192.00715
0.25,128,1212.691749
12.63,256,1253.303296
21.55,244,1287.940964
-10.85,12,1293.580013
12.69,256,1332.952381
0.41,128,1352.418628
-5.73,65,1360.376009
-5.91,63,1372.145757
15.7,184,1399.321417
-5.06,72,1412.767787
4.37,169,1438.205349
-3.6,87,1453.210683
0.33,128,1473.031457
25.0,384,1532.558134
0.19,128,1553.456145
0.28,128,1574.048244
8.08,105,1587.342781
-9.82,23,1594.235816
24.94,384,1654.979764
12.7,256,1694.490833
0.34,128,1714.62781
7.55,98,1726.525533
7.04,197,1759.275079
21.32,345,1814.594338
0.35,128,1833.782514
17.26,199,1862.02111
9.42,118,1879.846293
-5.5,67,1892.004012
0.37,128,1911.215906
12.66,256,1950.326102
12.66,256,1991.065817
9.2,117,2006.341582
-10.9,11,2012.485746
0.29,128,2033.775381
5.94,83,2045.143593
7.43,98,2061.368127
7.6,203,2095.58672
22.1,353,2149.390535
3.42,159,2177.708788
24.83,384,2240.216976
7.66,205,2271.603933
-7.2,50,2279.783155
-11.9,1,2285.168679
-7.89,42,2291.306279
12.05,251,2335.092084
-3.28,91,2352.062375
0.21,128,2374.874365
-8.34,38,2379.962946
-3.42,90,2398.372794
17.54,206,2432.960605
17.3,306,2489.392639
-0.62,119,2505.167878
-11.1,9,2510.991127
-1.2,113,2526.220242
-10.54,15,2532.590252
0.19,128,2554.252318
85.6,1024,2728.275365
6.18,191,2760.63992
-6.81,54,2769.04445
-10.95,11,2775.405926
2.17,44,2782.235336
-6.97,53,2790.594935
-2.78,97,2809.151894
-6.11,62,2822.562866
-1.42,111,2839.093462
-4.21,82,2855.633477
4.05,171,2885.43145
-4.29,82,2901.570648
-5.85,66,2915.074207
0.04,128,2938.654403
-4.52,79,2950.482701
-7.39,49,2962.142242
1.5,38,2968.359018
5.27,78,2980.462678
1.08,140,3009.973586
-3.89,85,3022.639997
1.87,41,3028.665139
-1.44,6,3033.75917
-2.96,95,3047.886286
-9.23,29,3056.473616
3.21,55,3065.263424
17.08,201,3102.997249
10.02,126,3121.479201
-1.46,6,3126.689347
13.72,166,3155.161603
17.19,307,3209.724209
-8.68,35,3219.110168
12.25,256,3266.801985
9.83,125,3285.887725
-11.72,3,3291.041641
3.44,58,3299.581554
12.25,256,3346.038408
-5.38,70,3360.486183
0.14,128,3383.201941
0.03,128,3406.33448
0.13,128,3429.008123
12.3,256,3473.82176
0.12,128,3496.312377
0.17,128,3518.613366
5.7,187,3549.618022
6.66,197,3585.620682
-0.21,125,3604.471292
6.69,198,3642.78599
5.81,189,3679.649011
36.36,512,3770.045035
-3.15,94,3783.420258
-0.19,125,3805.769463
3.54,165,3839.229227
0.22,128,3860.004076
2.54,48,3866.38454
19.92,336,3922.322091
10.09,127,3938.611568
12.51,257,3983.260018
12.59,256,4023.738306
0.25,128,4044.338336
7.66,205,4074.56585
5.15,179,4105.843166
37.03,512,4185.465283
12.39,256,4225.990736
0.31,128,4245.915839
7.92,103,4258.129736
14.97,281,4303.529732
6.65,90,4313.873723
-8.37,38,4322.328983
0.29,128,4341.250778
0.35,128,4360.085843
6.64,90,4370.945374
-8.26,38,4380.294485
6.16,85,4391.69725
4.28,171,4420.717056
36.99,512,4502.446209
12.03,249,4537.138637
-11.32,7,4542.239054
49.56,640,4644.029557
0.3,128,4665.240959
0.39,128,4684.327106
0.31,128,4703.640633
0.49,128,4721.850875
0.38,128,4742.250535
11.8,245,4775.316516
-4.32,79,4788.516282
-6.13,60,4799.426061
49.71,640,4895.959148
24.64,380,4950.203799
6.32,87,4965.904532
-7.62,45,4975.935704
0.31,128,4996.210383
0.25,128,5016.472404
37.24,512,5098.483492
22.66,256,5137.569131
9.11,116,5151.540137
-10.8,12,5157.163135
21.25,242,5191.201661
-10.62,14,5197.382769
36.98,512,5275.823986
46.38,505,5351.29364
-11.33,7,5356.435288
0.25,128,5377.212552
0.3,128,5397.299201
24.87,384,5457.11753
3.59,162,5483.093451
-2.98,94,5499.266349
-2.56,98,5511.918396
-9.15,30,5519.950937
36.11,502,5594.945618
-11.02,10,5600.591797
0.34,128,5620.69068
16.26,294,5666.346725
8.24,210,5698.995059
-11.2,8,5704.372316
20.19,231,5738.784106
-9.63,25,5746.43536
-1.42,110,5760.387179
-1.19,113,5779.772584
-8.81,33,5788.50544
0.24,128,5809.884769
12.61,256,5850.935178
12.48,256,5893.089058
19.15,326,5945.145773
-6.41,58,5956.876432
6.86,197,5989.398685
3.32,55,5996.926935
0.63,132,6022.894316
0.32,128,6043.026581
0.3,128,6064.278891
7.48,204,6098.417763
41.84,564,6196.741231
-0.15,125,6214.041626
-8.05,41,6224.424176
-5.39,69,6234.779863
-0.65,119,6255.55732
-9.13,30,6265.274903
-8.91,32,6270.371371
-2.76,96,6287.385055
8.76,113,6302.942852
-10.61,15,6309.375944
9.61,123,6326.358476
-11.53,5,6331.534117
6.67,90,6343.34894
-8.39,38,6353.390372
2.81,51,6360.362158
-6.89,54,6368.58314
33.74,376,6432.630016
-9.09,31,6441.761259
9.01,116,6457.821502
-10.84,12,6463.881458
8.09,106,6478.173293
11.71,144,6503.655212
-11.44,6,6508.813899
8.03,105,6523.014806
-9.83,23,6531.169957
8.17,106,6545.168222
24.59,278,6595.280505
0.27,128,6616.519567
74.12,896,6762.35129
61.92,767,6881.965299
5.22,75,6895.828682
-6.83,54,6907.639798
19.95,228,6941.168805
-9.31,28,6948.792329
33.25,368,7004.790592
-10.48,16,7011.218461
-1.15,113,7025.315878
-10.55,15,7031.697365
12.53,256,7074.347404
9.09,115,7088.829819
12.27,252,7129.96558
-10.33,17,7136.360153
0.32,128,7156.393428
45.89,494,7227.106244
0.73,132,7247.507018
-10.62,14,7253.763716
0.47,128,7273.767682
-4.36,78,7283.167521
-8.41,37,7288.141674
-10.73,13,7294.587641
12.55,256,7335.391657
-0.98,114,7349.547827
-10.62,14,7355.766491
19.98,227,7386.812074
10.9,133,7406.858797
-9.65,24,7413.952304
0.44,128,7433.086575
22.33,254,7469.72942
-11.82,2,7475.109015
-1.09,114,7491.251431
-10.64,14,7498.048841
5.68,80,7507.936262
-7.36,48,7519.303425
-0.35,121,7535.615223
-11.3,7,7541.278836
0.36,128,7561.062288
33.82,369,7612.82274
-10.55,15,7618.826911
32.26,353,7668.257349
-8.98,31,7676.570567
4.17,168,7702.524306
-3.53,88,7718.155814
7.83,102,7730.195244
7.33,97,7746.315694
-6.47,57,7757.870013
9.17,117,7773.282611
-10.98,11,7779.484733
8.12,105,7792.357538
-9.81,23,7800.100823
10.24,127,7816.726886
5.96,82,7830.989646
-7.46,47,7840.905931
6.36,86,7851.044508
-7.95,42,7860.873666
0.32,128,7880.389074
4.75,70,7889.082013
13.79,166,7914.788162
11.94,145,7938.36709
-11.72,3,7943.374061
0.31,128,7963.833496
26.26,294,8009.622782
-3.35,90,8026.075144
0.33,128,8046.120965
7.02,92,8056.972163
-8.5,36,8066.524047
42.69,462,8135.591702
-7.21,50,8147.003847
24.98,384,8209.203922
117.63,1219,8389.676205
-6.05,61,8401.530389
32.13,352,8452.725967
3.54,160,8480.331459
46.46,501,8554.854752
-10.95,11,8560.555659
34.63,484,8634.549267
45.63,495,8713.902796
-7.69,45,8723.263393
35.07,383,8779.448718
-1.53,5,8784.582129
24.72,380,8843.430859
2218.24,22349,11278.943454
88.55,906,11375.493537
-7.91,41,11382.726735
0.67,128,11397.158007
8.61,107,11406.097071
-9.92,21,11411.838341
0.58,128,11426.846428
0.58,128,11442.530366
8.66,108,11452.386615
-10.0,20,11458.258755
0.65,128,11473.511566
0.63,128,11488.931206
47.24,500,11545.865071
-10.81,12,11551.089276
13.09,256,11583.261025
0.65,128,11599.18905
5.82,79,11606.405751
42.8,561,11680.007222
6.88,193,11702.186741
-5.76,63,11711.719601
0.64,128,11727.309752
60.28,638,11808.507355
6.3,86,11821.410051
-7.6,44,11829.869716
34.93,380,11877.918501
-3.74,86,11891.343778
0.09,122,11907.811476
26.28,289,11946.744805
-10.12,19,11953.317018
9.59,120,11966.415404
-11.2,8,11971.566474
9.45,117,11984.416377
-10.91,11,11989.868441
9.3,117,12002.680317
-10.91,11,12008.01281
22.27,252,12040.267722
1.54,37,12048.513851
-2.71,95,12062.864325
-3.99,83,12071.979799
-7.66,45,12081.675151
-1.77,106,12093.560335
8.59,110,12110.200173
-8.09,40,12118.55007
7.7,101,12130.010049
-9.3,27,12137.690801
-7.87,42,12142.706195
-7.19,50,12149.858976
8.34,108,12168.471199
12.66,154,12193.445153
-1.82,107,12212.01196
10.76,133,12233.574125
-7.62,46,12244.477992
-3.67,88,12256.555464
8.87,114,12275.327694
-6.73,54,12286.104683
-0.84,118,12301.390662
-11.04,10,12307.040143
8.85,219,12339.685302
-8.41,37,12349.058936
9.3,119,12364.340705
-11.18,9,12369.697348
2.9,51,12376.093687
15.92,187,12405.635771
-10.24,18,12412.320064
7.89,104,12426.183486
-9.69,24,12433.679489
7.39,98,12446.221492
10.55,131,12467.137523
-1.23,112,12486.584288
10.55,132,12508.354795
2.53,150,12531.685535
-10.33,17,12538.439393
-5.63,66,12547.061137
12.19,147,12569.970665
-7.87,43,12579.737991
-4.01,84,12590.937728
11.37,139,12613.522486
-8.82,33,12622.276838
-7.59,46,12628.297272
-4.57,78,12639.290024
-1.51,5,12644.274084
6.73,92,12656.840123
-8.67,35,12665.458115
3.91,62,12673.41108
-5.7,66,12686.410275
6.7,92,12699.169623
8.6,111,12717.65925
-6.92,53,12728.886831
6.97,94,12741.743994
12.06,149,12767.238894
10.33,130,12789.056795
-10.95,11,12794.769846
4.04,63,12803.01002
3.18,55,12810.919165
-11.04,10,12816.609379
7.01,95,12829.648422
-8.82,33,12838.189728
9.16,118,12854.899237
6.09,85,12872.103451
-9.57,26,12877.10215
6.68,92,12894.861556
11.12,138,12917.91995
12.56,153,12943.304402
10.29,129,12965.259956
-9.41,27,12972.939284
8.81,114,12988.714825
-1.67,108,13007.695916
0.58,132,13030.421288
-9.09,30,13038.899305
7.82,104,13053.68377
-9.69,24,13060.946068
7.05,95,13074.001876
-8.87,33,13083.27901
6.31,88,13096.100079
1.53,37,13101.294408
-1.44,6,13106.458023
-3.09,94,13119.568671
-9.04,31,13128.257943
6.51,89,13140.795048
-8.24,39,13150.293293
8.4,110,13166.098692
-5.98,64,13179.248995
5.6,80,13191.445431
2.97,53,13204.339068
14.31,172,13233.848801
-8.84,33,13242.573746
8.46,111,13258.532548
8.34,110,13278.107823
12.29,258,13323.388691
7.73,103,13342.329136
-6.52,58,13354.704389
2.5,48,13361.667724
-4.43,80,13377.887292
6.45,90,13391.200165
-8.4,38,13400.749063
7.52,101,13415.057636
-1.12,115,13435.737766
-8.16,40,13445.461488
-8.62,35,13450.527531
5.88,84,13463.084639
-11.19,9,13468.62733
-8.16,41,13474.649215
-7.39,49,13482.068215
6.69,92,13499.834703
-5.02,74,13514.865794
3.46,58,13523.149483
11.11,138,13547.111691
11.95,148,13573.553942
7.13,96,13591.782821
2.46,153,13618.288157
0.8,135,13642.307243
10.24,129,13664.709535
-8.28,39,13674.338063
-8.65,35,13679.399647
6.1,86,13691.880376
-11.33,7,13696.98486
6.17,86,13709.188977
11.03,137,13732.868554
12.49,153,13758.917586
-11.22,8,13764.448624
5.49,79,13775.593081
-7.32,49,13786.85231
7.57,101,13801.475237
-9.39,27,13809.350305
6.46,89,13821.997223
-8.33,39,13831.788989
-1.45,112,13848.191971
-10.51,16,13854.589261
6.67,91,13866.816329
1.32,35,13872.092088
3.25,55,13883.854389
-7.52,47,13890.435332
-9.35,28,13898.845558
9.24,118,13915.21236
-11.03,10,13920.984387
9.55,121,13937.538172
-11.36,7,13942.719575
4.38,66,13951.617628
-8.22,40,13957.497627
23.99,273,14003.736565
-11.54,5,14008.992809
0.19,128,14031.036444
1.49,37,14036.122757
-3.68,87,14048.006102
-11.63,4,14053.002666
8.09,105,14066.833715
24.04,378,14129.229682
-9.22,29,14137.264866
0.25,128,14157.662158
21.86,250,14194.91972
-11.3,7,14200.02978
21.6,247,14237.087905
-11.25,8,14242.895199
41.29,559,14334.084219
20.2,337,14391.154685
24.59,383,14448.517938
6.85,92,14464.566352
33.0,364,14521.895799
14.05,167,14546.262506
-10.31,18,14552.820547
0.3,128,14573.312531
-0.84,115,14587.108433
75.67,909,14731.332116
0.43,128,14750.542331
21.47,242,14783.693689
-10.62,14,14789.526806
35.07,384,14849.621891
10.29,127,14865.382878
-8.48,36,14874.235171
-3.11,92,14885.539139
7.97,104,14902.40909
-9.58,25,14909.953715
84.52,896,15050.904363
12.82,256,15089.187657
12.79,256,15127.872757
59.25,632,15222.869213
-11.24,8,15228.572847
-7.08,51,15234.931915
4.63,68,15243.969618
-11.14,9,15249.942895
17.41,199,15279.44386
-6.97,52,15286.749998
-11.54,5,15292.443888
10.19,127,15309.333476
-3.28,91,15325.593909
13.75,162,15350.942812
-11.62,4,15356.093965
9.91,124,15372.017169
-11.61,4,15377.119371
34.57,380,15436.288877
-11.63,4,15441.352628
-6.94,52,15447.770165
-5.39,68,15456.53062
-11.24,8,15462.087424
-8.06,40,15467.074408
-3.84,84,15478.26831
-11.64,4,15483.75401
-3.35,89,15495.164805
-8.16,39,15503.912813
-7.88,42,15508.927751
-3.65,86,15524.202666
-1.82,105,15537.244454
-9.72,23,15544.540014
9.73,121,15560.042095
-11.33,7,15565.674037
34.56,379,15623.516522
-11.51,5,15628.969397
28.65,422,15699.577108
-3.3,90,15715.759931
5.14,74,15725.236622
-6.71,54,15737.195696
7.97,103,15750.792685
-9.57,25,15758.67474
46.1,500,15839.716191
-10.83,12,15851.793642
-11.33,7,15856.720987
-1.04,10,15861.737018
-11.03,10,15867.034999
-1.02,10,15872.131119
-1.17,9,15877.369116
-1.02,10,15882.64898
-10.84,12,15887.701029
-10.85,12,15893.621013
-11.14,9,15898.478997
-10.86,12,15904.40329
-1.14,9,15909.32109
-0.93,11,15914.540766
-9.42,27,15929.201634
-10.15,19,15934.231678
-10.01,21,15939.363496
-9.96,21,15944.420397
-9.87,22,15949.541056
-9.62,25,15958.51912
12.74,256,15998.207445
8.02,207,16027.273508
14.78,173,16052.002114
7.71,101,16068.506232
3.45,159,16095.390704
0.34,128,16115.194191
22.49,254,16150.126507
6.79,92,16165.777795
-8.32,38,16175.50644
10.1,126,16190.982655
7.13,95,16206.573883
-8.63,35,16215.340045
-7.78,43,16220.394248
-3.72,85,16234.536751
1.91,41,16239.520096
-4.13,81,16249.076161
-11.44,6,16254.216132
10.06,125,16270.061372
