#{"t_start": 1605775867.6540546, "env_id": "ChromeDino-v0"}
r,l,t
-7.75,44,25.029787
-3.91,85,42.445605
-6.08,62,53.381676
6.55,194,90.719156
5.2,76,102.477301
2.38,151,128.645126
7.19,96,146.500917
-6.16,61,159.264137
9.5,121,176.941991
-11.33,7,182.931562
28.64,321,236.866579
3.49,58,245.000729
-11.42,6,250.041385
27.39,308,300.63703
7.37,203,336.421077
13.48,162,363.46581
17.14,201,395.14122
-9.99,21,402.566192
1.52,37,407.613327
3.11,53,414.477843
17.74,206,449.63527
-5.15,71,459.367647
-10.41,17,466.364684
0.3,128,487.296639
19.52,224,522.941734
-8.92,32,531.208283
0.17,128,553.055374
12.54,256,596.084077
12.48,256,640.720709
9.8,124,658.930216
-11.64,4,664.26478
3.76,60,673.880155
3.88,62,683.020196
-11.43,6,688.148552
0.26,128,710.310962
0.24,128,731.940946
1.6,38,737.073555
3.25,55,744.213217
-8.63,35,752.518663
0.24,128,773.992519
0.15,128,795.564211
0.23,128,816.875075
12.49,256,860.590589
0.24,128,881.554522
12.35,256,926.1515
0.18,128,948.1224
1.36,36,953.271662
-3.24,92,970.763546
-3.0,95,984.779602
-8.88,33,994.476975
20.79,239,1031.273619
-10.39,17,1037.609434
0.23,128,1058.639747
19.94,230,1093.197384
2.68,154,1120.92515
0.27,128,1141.91017
24.7,384,1204.961973
1.84,40,1210.270622
-3.63,88,1225.651906
0.28,128,1245.945019
24.93,384,1306.538954
12.74,256,1345.911763
25.05,384,1405.393187
0.38,128,1425.724095
0.45,128,1446.08951
14.46,170,1471.299864
-3.63,86,1485.976481
0.41,128,1505.466309
15.24,178,1531.67725
-4.46,78,1545.513771
0.25,128,1566.415889
0.29,128,1587.01864
0.38,128,1607.198908
49.74,640,1707.460501
0.31,128,1727.583178
2.06,42,1732.828723
8.65,214,1767.167892
5.71,80,1777.375436
-7.41,48,1787.334743
12.83,256,1827.547332
2.18,43,1832.790522
-3.68,85,1846.733368
25.24,384,1904.972852
42.94,464,1973.070318
4.92,176,2004.009919
0.36,128,2025.444735
0.38,128,2046.736847
0.22,128,2068.118929
0.32,128,2088.675031
12.61,256,2129.196428
0.32,128,2149.558155
9.02,115,2164.740372
-10.7,13,2170.304417
61.73,767,2292.6823
-11.9,1,2298.102214
-8.02,41,2304.035211
-3.65,87,2320.708172
0.22,128,2342.979395
0.26,128,2365.018295
0.18,128,2387.834197
-1.05,115,2404.371897
-10.75,13,2411.332024
-8.83,34,2416.323229
-8.15,41,2422.515421
-6.95,53,2434.954149
0.2,128,2457.945805
34.35,380,2518.936441
-11.6,4,2523.928359
12.42,256,2567.214085
0.19,128,2589.098989
9.98,127,2607.104696
-1.62,4,2612.141873
-1.14,114,2627.747358
-10.92,11,2633.579463
0.26,128,2654.762617
0.26,128,2676.340093
0.19,128,2698.08047
0.19,128,2719.554069
0.22,128,2741.190761
17.33,203,2775.8732
-6.89,53,2788.301076
7.13,97,2803.548667
-0.61,120,2825.619238
-8.35,39,2835.516771
0.16,128,2858.83467
12.26,256,2905.373447
0.14,128,2928.046622
18.13,212,2964.495298
4.24,172,2999.785014
31.3,349,3059.918928
-2.48,100,3079.819211
-6.08,63,3093.36117
12.31,256,3138.989956
-2.02,105,3154.374722
2.37,151,3184.791623
-2.31,102,3200.309357
7.65,101,3220.0109
-6.98,53,3232.073757
36.77,512,3327.583176
7.38,99,3342.205429
-9.28,29,3350.604012
12.3,256,3396.139399
0.1,128,3419.299524
36.53,512,3509.272624
-6.18,61,3517.873791
12.87,262,3563.946205
21.15,349,3627.369971
-2.88,96,3645.852249
0.09,128,3669.135936
12.29,256,3714.350111
0.12,128,3737.300801
-0.18,125,3755.698721
60.79,771,3894.006542
1.79,40,3899.202588
-3.68,88,3914.563287
13.99,168,3940.51427
-3.55,88,3955.866427
24.6,384,4016.380685
12.54,256,4057.322737
1.76,39,4062.419445
33.28,473,4138.385627
14.41,171,4163.79987
8.38,213,4198.441141
12.51,256,4238.97054
-7.89,42,4244.071998
20.72,342,4297.349447
27.0,302,4340.470021
-4.09,82,4354.231524
0.33,128,4373.065066
0.28,128,4393.264143
12.55,256,4433.698674
0.24,128,4454.029971
0.19,128,4474.713148
37.03,512,4555.221575
18.39,315,4603.221333
-5.41,69,4616.488936
24.85,384,4678.199621
0.32,128,4697.304124
0.37,128,4716.621154
0.4,128,4734.816301
-3.27,90,4746.156465
38.86,422,4812.415656
-3.98,82,4821.946781
-7.54,46,4831.646315
0.42,128,4850.63731
45.7,496,4923.070934
5.73,183,4952.295275
2.45,150,4975.690871
-5.53,67,4988.914855
34.53,382,5045.957424
0.15,128,5066.663507
-1.45,6,5071.718662
43.35,472,5142.002997
-8.51,36,5150.545113
24.86,384,5210.380971
24.95,384,5269.058221
49.29,640,5369.386973
9.58,121,5385.154704
-11.32,7,5390.163969
10.23,127,5406.038754
40.21,547,5495.997079
26.89,405,5560.205254
31.92,457,5633.669113
110.98,1280,5843.578158
55.67,600,5938.949724
-1.4,110,5958.110734
5.77,186,5993.050644
-0.52,120,6009.361837
-11.22,8,6014.688108
0.31,128,6035.865812
0.4,128,6055.990557
0.29,128,6077.218921
10.1,127,6095.272132
-11.91,1,6100.388805
-4.75,76,6111.295897
20.89,238,6152.738566
14.47,172,6179.750397
-9.46,26,6187.524265
8.87,113,6202.901752
1.64,143,6231.900824
-7.45,47,6238.911689
16.61,194,6270.872329
5.31,77,6287.174993
-5.75,65,6295.858095
6.9,93,6312.844968
25.76,291,6361.850886
