#{"t_start": 1605775870.9073365, "env_id": "ChromeDino-v0"}
r,l,t
2.12,43,21.581496
1.93,146,49.777637
-5.48,68,63.836926
-4.53,78,74.635637
2.14,44,81.798084
-11.43,6,87.502775
-4.36,80,100.040479
5.88,83,116.001464
-3.21,93,133.762407
24.58,384,202.537985
-7.17,51,209.90222
-4.63,77,224.748187
12.39,256,267.781746
2.21,44,273.880749
8.36,212,311.553133
0.21,128,333.200338
0.26,128,355.110885
0.19,128,376.972239
0.21,128,399.345823
1.62,38,404.524328
8.95,218,441.214618
0.28,128,463.14266
0.29,128,484.075272
-8.45,37,489.162443
8.99,219,527.990935
0.16,128,549.836998
0.21,128,571.667943
3.09,53,578.761369
-4.84,75,592.865701
10.0,230,629.284556
8.3,213,670.465403
6.86,197,707.094582
0.29,128,728.72058
0.25,128,749.297328
7.26,97,762.532167
-9.04,31,770.772149
0.19,128,792.342843
24.74,384,857.371217
33.45,370,916.419415
1.53,142,944.906953
0.16,128,967.552018
0.19,128,991.260757
12.42,256,1034.392056
0.2,128,1055.419939
24.76,384,1117.705779
2.41,46,1124.069214
-4.17,82,1138.689254
0.26,128,1159.619086
12.43,256,1201.744569
17.98,209,1232.869285
4.84,175,1263.035789
12.72,256,1303.319582
0.39,128,1323.161825
-7.24,49,1329.299299
-4.3,79,1342.691393
0.39,128,1362.157655
12.73,256,1402.17471
0.37,128,1422.503601
0.37,128,1442.868143
0.38,128,1462.951255
0.37,128,1482.754789
4.29,65,1490.602
-5.87,63,1502.245939
4.5,67,1510.375074
-6.1,61,1522.053399
12.6,256,1563.197513
29.5,326,1613.090205
-6.4,58,1624.391493
5.7,80,1634.61824
-7.37,48,1644.724643
0.32,128,1664.713402
0.41,128,1684.407692
12.72,256,1724.365799
0.37,128,1744.064055
49.94,640,1843.513246
12.84,256,1882.800225
12.91,256,1920.941667
0.4,128,1940.839532
-3.41,88,1951.37913
0.66,130,1970.981481
1.07,135,1992.51816
-8.98,31,2000.792064
0.32,128,2022.22538
7.52,99,2035.000789
22.01,249,2076.117831
-8.51,36,2085.454436
12.71,256,2125.981441
0.29,128,2146.336788
53.35,577,2237.138821
-5.94,63,2249.940138
7.97,208,2282.050169
-7.35,48,2294.885835
2.59,48,2301.908476
10.9,135,2324.949118
-0.74,116,2345.796628
-3.81,85,2361.798923
12.33,256,2408.11533
-0.91,117,2425.755171
-10.92,11,2431.731696
0.16,128,2454.730428
24.75,384,2520.711333
24.74,384,2585.881527
0.26,128,2608.385701
-0.98,116,2624.32745
1.43,140,2651.545239
36.8,512,2737.97837
-1.7,108,2753.966609
-3.53,89,2771.551395
-6.61,56,2780.011738
-11.73,3,2785.102648
-3.48,90,2799.185319
-8.38,38,2809.16073
8.9,219,2845.661382
-8.5,37,2855.614301
-0.2,124,2874.39094
0.5,132,2902.155072
9.93,231,2940.147472
6.32,88,2957.703541
15.66,188,2991.466119
-11.53,5,2996.563472
5.67,81,3008.512618
-7.58,47,3019.710333
-4.41,80,3031.565918
1.46,142,3056.89765
-8.74,34,3066.210918
12.18,256,3112.739948
20.86,242,3152.571169
6.78,92,3170.202275
1.07,138,3194.707968
-8.23,40,3205.4491
0.17,128,3228.854385
-0.13,125,3247.988826
-11.73,3,3253.279796
5.33,77,3264.607362
4.98,179,3300.763297
-0.22,124,3319.50563
0.47,132,3347.384376
12.18,256,3392.930004
24.4,384,3461.205324
12.17,256,3506.056153
8.26,213,3540.296917
-7.92,43,3550.959804
6.58,196,3582.830363
78.25,956,3756.919716
-1.13,115,3773.81618
-10.78,13,3779.783138
5.69,81,3791.207159
23.38,270,3839.768034
-8.93,33,3848.988781
0.15,128,3869.759618
24.41,384,3932.069592
49.06,640,4033.50267
81.04,970,4184.227337
-6.84,54,4195.221109
12.43,256,4235.752164
0.27,128,4255.680375
37.16,512,4332.090506
0.35,128,4351.009192
5.62,79,4360.059539
-7.3,49,4369.843699
36.84,512,4450.81809
-2.05,104,4464.253963
-9.7,24,4471.490784
12.45,256,4512.202095
49.4,640,4613.27278
0.38,128,4633.450686
12.55,256,4674.982257
12.76,256,4713.404457
0.46,128,4731.595962
0.37,128,4752.016642
0.38,128,4770.959045
0.32,128,4790.7659
-3.8,84,4800.111214
16.99,300,4847.419933
-3.44,88,4858.252412
-8.07,40,4867.963884
0.25,128,4886.823903
37.32,512,4964.722606
-2.24,102,4978.033096
-9.43,26,4985.693488
-7.31,48,4991.503711
-4.27,80,5005.974751
0.36,128,5026.216602
37.15,512,5108.244414
12.62,256,5147.32574
12.46,254,5182.284477
0.34,130,5207.162278
10.76,237,5239.618545
-10.13,19,5246.077241
21.39,244,5279.911306
-10.84,12,5285.587473
11.72,248,5320.283825
-11.22,8,5325.543852
21.14,242,5360.046621
-10.65,14,5366.166878
10.18,128,5386.944645
-7.32,49,5393.176559
50.24,651,5496.209246
2.18,148,5519.27114
51.59,559,5605.973383
-11.44,6,5611.05627
-0.27,123,5630.448789
33.75,373,5687.217128
-10.92,11,5693.337333
24.79,384,5756.182734
12.55,256,5798.21812
11.07,240,5834.017001
-10.43,16,5840.359783
11.19,241,5875.539541
1.65,143,5902.844616
6.86,92,5915.082244
-8.55,36,5924.239492
0.27,128,5944.97243
-4.83,74,5955.41027
-6.84,54,5966.622018
0.21,128,5989.829277
0.28,128,6011.467739
44.03,479,6087.2434
-1.41,110,6108.45258
13.9,166,6135.378411
-10.77,13,6141.575036
1.42,36,6146.688848
30.57,340,6200.900038
-11.2,8,6206.473574
8.68,111,6221.679413
-10.34,17,6228.681764
9.16,117,6246.026348
-10.95,11,6251.837822
0.18,128,6274.944698
-2.52,99,6288.8226
-9.23,29,6297.118486
6.77,91,6309.445014
-8.42,37,6319.106574
7.21,96,6332.05172
-0.19,123,6353.320285
10.93,136,6377.387367
9.7,122,6398.314292
-8.67,35,6407.79643
-2.55,98,6420.872279
-9.13,30,6429.62797
-2.56,98,6442.585551
-9.12,30,6451.484294
7.47,99,6465.037552
12.83,155,6491.729042
-11.8,2,6496.894912
11.1,242,6534.384051
1.59,142,6562.138232
9.94,124,6578.20476
6.23,86,6594.168357
-7.62,46,6605.012124
9.39,223,6638.65479
-8.89,33,6647.552274
9.51,121,6663.8218
-11.35,7,6669.31925
94.76,1009,6828.37197
-10.56,15,6834.488526
9.96,124,6849.979318
7.69,101,6867.218888
-9.02,31,6875.559583
24.8,384,6938.108023
8.45,213,6969.25066
-7.93,43,6979.016981
83.35,891,7120.922175
-11.54,5,7125.989216
10.71,236,7159.399064
-10.04,20,7166.130044
0.4,128,7185.610489
67.98,724,7293.757015
12.8,153,7317.630929
-10.16,19,7324.350493
24.98,384,7385.189817
32.01,349,7434.419805
-8.57,35,7442.826658
32.47,357,7499.051093
-9.37,27,7507.76597
22.46,254,7546.173482
6.4,87,7561.327518
-7.78,43,7570.797023
25.43,384,7628.573594
12.93,256,7666.590025
12.05,249,7701.918442
-11.33,7,7707.276467
12.71,256,7747.584772
0.39,128,7767.604969
9.2,116,7782.861604
-10.86,12,7789.222346
0.14,126,7805.274037
-1.53,5,7810.397897
-7.19,50,7816.659129
-4.76,75,7831.021294
49.0,628,7925.684672
36.01,394,7989.325632
-1.53,5,7994.416242
22.28,252,8030.922862
-11.81,2,8036.042239
72.2,765,8151.763466
-11.8,2,8156.740462
-8.1,40,8162.793331
-4.27,79,8173.785292
-11.14,9,8179.229115
0.33,128,8199.07327
30.22,333,8249.145688
-7.04,51,8259.797354
10.26,127,8275.517392
-1.53,5,8280.694033
12.49,252,8318.187872
0.53,128,8336.975129
25.37,384,8390.680244
6.9,91,8402.23354
31.38,343,8456.988329
-4.5,78,8470.683414
12.91,256,8509.148165
18.49,211,8539.267083
64.28,683,8647.849302
-1.43,6,8652.954758
12.44,252,8693.654374
12.95,256,8733.002329
12.84,256,8772.514311
35.02,382,8829.789446
8.35,107,8846.323004
-9.83,23,8853.159579
2215.15,22290,11283.771634
88.57,1006,11392.509311
-5.91,61,11397.55295
-5.33,67,11406.94148
5.54,76,11413.25016
-6.83,52,11421.619845
0.58,128,11436.61094
0.56,128,11452.287809
0.62,128,11468.017312
13.29,256,11498.690761
0.66,128,11514.170094
13.31,256,11544.741219
0.62,128,11560.83603
0.63,128,11576.860383
0.59,128,11593.020579
25.41,382,11637.340227
-0.94,11,11642.525814
12.22,247,11673.986247
5.02,71,11680.417804
-6.33,57,11689.771041
7.88,202,11712.78952
1.21,133,11728.60965
-7.13,49,11737.077285
10.57,128,11753.750263
25.52,384,11805.538663
0.51,128,11822.531613
-5.67,64,11828.91703
-5.7,64,11839.619297
23.49,363,11885.604376
-9.91,21,11892.36805
13.0,256,11927.144337
35.14,382,11976.880537
6.93,93,11990.9832
-8.35,37,11999.601642
9.01,113,12011.988158
-10.5,15,12017.753415
-0.51,118,12030.531763
-11.0,10,12035.993563
8.58,108,12047.855232
-10.08,20,12054.795096
12.66,256,12091.409301
7.2,95,12101.819612
5.66,79,12115.205766
-4.1,82,12128.287683
3.87,60,12134.922456
-7.17,49,12140.903489
9.51,120,12161.03295
8.7,110,12179.927094
9.14,116,12199.374706
12.2,149,12224.119737
-8.53,36,12232.550114
-4.39,80,12243.120945
1.96,42,12249.053547
-11.4,6,12254.238892
5.31,76,12264.547099
1.58,141,12286.986152
9.2,116,12305.347524
11.89,144,12328.827796
1.38,35,12337.918888
9.41,120,12353.569638
-11.22,8,12358.795531
8.05,105,12372.424608
-9.73,23,12379.416601
6.39,87,12390.619257
23.65,268,12435.148979
10.43,130,12456.426419
-9.39,27,12463.938007
9.68,122,12479.937888
-11.42,6,12484.929497
8.22,107,12499.829525
-9.96,21,12506.373169
8.37,108,12520.733559
-10.03,20,12527.134771
21.98,251,12564.174548
-11.42,6,12569.195668
7.16,95,12581.316321
-8.98,32,12589.472258
21.62,248,12626.80491
-11.21,8,12632.019672
9.51,121,12648.622864
-11.31,7,12653.853895
-3.04,93,12666.565436
-3.97,83,12681.405326
-4.31,80,12696.15336
-6.58,57,12703.864815
-8.09,41,12709.759272
-9.02,30,12717.703736
4.3,65,12726.02825
-5.96,63,12738.635118
3.42,56,12745.980197
-6.5,58,12754.692587
-10.65,14,12760.824188
-2.86,96,12774.282522
-8.93,32,12782.76877
8.95,115,12798.529202
-10.75,13,12804.50417
7.46,99,12817.99246
5.94,83,12833.769371
-4.92,74,12847.923434
-2.71,97,12861.159887
-1.29,112,12883.025285
10.55,133,12907.836853
-7.99,42,12917.66011
7.04,95,12930.744955
12.31,255,12973.813118
7.4,99,12991.615787
-5.91,63,13004.599946
19.49,227,13040.35937
10.57,132,13063.285742
11.98,148,13088.024423
-11.53,5,13093.019839
-8.66,35,13098.055683
-7.95,43,13104.345707
4.39,173,13133.255949
6.67,92,13150.265141
2.89,157,13176.786415
-10.84,12,13182.492053
8.81,115,13199.472513
7.58,101,13219.967436
9.84,124,13241.823637
1.88,147,13266.962512
-9.67,25,13274.599167
9.01,117,13291.393729
-10.92,11,13296.924468
3.12,54,13304.232977
-6.14,62,13313.619295
-10.87,12,13319.457579
