#{"t_start": 1605759191.317457, "env_id": "ChromeDino-v0"}
r,l,t
2.35,46,12.327682
-7.86,44,19.105037
-9.02,32,24.00109
-11.35,7,29.716234
0.87,31,34.57217
-3.99,84,46.589926
-10.8,13,52.747647
-6.78,55,60.573184
-5.07,73,74.535331
-3.19,92,87.586909
-8.6,36,96.434989
0.2,128,118.098837
0.16,128,139.879507
-3.9,85,151.38638
-7.95,43,161.346954
-2.08,104,175.656674
-9.75,24,183.788913
-8.15,41,189.644314
-3.72,87,205.219646
-4.76,76,215.927039
-8.84,34,220.749671
-10.3,18,227.490422
0.17,128,249.646143
12.35,256,292.924709
12.42,256,335.06078
0.19,128,356.23547
23.53,374,413.411451
-11.04,10,418.925418
-4.18,82,429.656953
-7.58,46,439.660804
-3.02,95,452.774237
-8.84,33,460.891851
-8.62,36,465.687946
5.28,182,494.498272
-8.4,38,503.801736
-6.51,57,511.522814
19.22,327,567.195647
-6.68,55,574.256716
-5.06,73,587.90729
-7.37,49,594.726364
6.58,196,625.851186
-10.97,11,631.639813
0.18,128,652.829851
3.32,161,678.405126
-2.92,95,695.414173
5.58,184,724.296639
-5.2,72,737.954951
4.93,73,747.946484
12.97,263,792.88956
9.2,118,813.306759
-6.57,58,825.582412
-5.21,72,836.034182
-6.72,56,847.962528
-3.65,88,860.334997
-8.28,40,870.149209
2.63,49,877.059548
-4.56,79,892.630063
-8.15,41,898.591808
4.93,180,928.225316
0.93,32,933.013057
-11.72,3,937.716738
-8.75,34,942.454382
-3.99,84,954.238741
-11.02,10,959.709219
0.22,128,981.198489
0.18,128,1002.864662
7.76,102,1017.348509
-5.2,72,1031.376845
5.66,186,1061.178447
-5.96,64,1074.603979
-3.65,88,1090.851556
-2.72,97,1104.600394
-9.07,31,1112.906586
-5.58,67,1122.678749
-7.37,49,1129.717103
23.21,265,1175.290842
-11.61,4,1180.091957
-6.76,55,1188.069196
-8.97,32,1192.907218
16.02,296,1247.138657
6.74,199,1279.082016
4.76,179,1307.686164
-11.46,6,1312.554223
12.03,256,1356.250253
8.29,110,1371.864082
-10.36,18,1378.548075
0.06,128,1400.124831
1.7,40,1406.070591
8.32,216,1444.428677
-8.9,34,1449.142183
9.03,222,1489.22697
-4.92,74,1499.473805
-1.71,109,1518.819241
-5.0,73,1532.595587
4.19,170,1560.235452
-3.82,86,1575.976554
3.42,57,1583.881224
-5.29,71,1597.837148
-3.8,86,1609.610564
16.22,298,1662.497453
0.21,128,1683.906428
0.07,128,1705.851495
0.07,128,1727.657697
20.97,349,1783.385065
15.48,291,1834.095743
0.13,128,1854.914273
0.14,128,1875.88021
0.1,128,1896.899721
0.09,128,1918.590053
12.14,256,1960.914542
6.88,201,1992.198384
29.37,439,2067.095578
0.11,128,2087.755104
25.76,295,2133.899694
-3.67,89,2149.971394
0.05,128,2171.290951
6.78,200,2202.405681
4.27,173,2229.466609
-2.33,103,2247.654871
8.31,217,2284.830667
35.73,507,2370.111138
-4.43,80,2384.767144
0.14,128,2405.856059
12.3,256,2447.496058
-4.43,80,2458.51805
-7.54,48,2468.902605
12.08,256,2511.66028
-6.46,59,2519.42303
18.58,325,2575.700038
-5.57,69,2584.465223
9.42,122,2604.190728
22.87,267,2646.739259
14.39,176,2673.865324
-11.43,6,2678.783248
-1.78,109,2692.991131
13.71,275,2740.147303
6.17,87,2751.047761
3.8,169,2781.671682
-0.06,128,2802.602781
8.43,111,2817.11791
9.89,126,2837.797339
1.7,147,2865.484195
0.03,128,2886.674282
-6.41,60,2894.744446
-5.62,68,2907.945699
-0.29,124,2923.875265
-11.64,4,2928.742936
0.1,128,2949.367562
12.15,256,2991.426898
0.08,128,3012.478475
0.02,128,3033.673198
7.16,97,3046.725862
-9.07,31,3054.869791
12.16,256,3096.77193
17.27,204,3127.97472
-7.08,52,3139.198499
0.13,128,3160.171243
24.26,381,3218.077726
-11.61,4,3222.819994
12.36,255,3263.0989
12.39,256,3304.809974
0.19,128,3325.187252
0.18,128,3345.847408
0.11,128,3366.805539
42.86,474,3440.776009
-8.44,38,3450.095155
26.48,304,3500.100205
7.41,208,3536.567266
-2.69,99,3549.506154
-9.31,29,3557.515319
3.99,65,3566.277846
1.11,34,3571.152976
-9.33,29,3579.251243
6.34,90,3591.456399
-8.54,38,3600.757967
-8.9,34,3605.581651
5.18,78,3616.376971
6.96,97,3633.373558
-9.05,32,3638.063462
2.44,49,3649.172057
18.4,221,3683.881051
-1.64,4,3688.73868
19.62,233,3724.334007
4.32,69,3738.0521
3.43,59,3745.986758
9.27,122,3766.364022
9.55,125,3787.404757
-6.38,62,3800.483957
3.76,63,3809.20603
8.63,115,3828.802895
-8.0,43,3834.756471
-0.69,14,3841.036316
3.35,58,3849.312359
1.2,35,3854.167361
8.24,112,3874.245911
-8.43,39,3883.684789
-7.51,49,3890.471154
9.46,124,3912.192412
-8.07,43,3918.196495
9.3,123,3939.971295
5.86,86,3956.105998
1.07,34,3960.859707
0.06,131,3983.001029
-2.76,100,4001.125297
4.48,70,4010.801971
-11.28,8,4016.103352
-6.11,64,4025.355395
-2.59,103,4044.028782
3.22,57,4052.031929
-4.69,80,4067.422449
10.72,137,4090.060113
11.35,144,4113.189804
13.11,163,4139.217591
7.53,102,4156.863251
4.22,174,4188.130257
6.7,93,4200.833854
2.01,150,4224.94462
1.2,141,4251.67536
6.27,88,4263.068657
8.81,116,4282.551327
-7.16,52,4293.523484
0.04,128,4314.528802
6.63,92,4326.405989
-8.67,36,4335.155966
0.02,128,4356.064581
9.46,121,4371.778688
-11.33,7,4376.906741
4.73,72,4386.67343
41.22,568,4482.864844
5.62,82,4494.063899
14.34,282,4540.272016
6.04,87,4556.580892
-6.34,61,4568.812459
-0.91,118,4585.238383
0.91,138,4611.431487
-4.88,76,4621.551019
-7.16,52,4632.484235
-1.68,110,4646.887489
-0.34,126,4667.943209
2.95,54,4679.803679
17.87,213,4713.093741
-11.18,9,4718.475135
20.8,245,4756.145841
3.44,59,4768.778236
-6.11,63,4777.701685
9.33,122,4798.468281
9.5,124,4819.949337
10.94,139,4842.861246
0.58,135,4865.950119
-11.18,9,4871.339667
6.41,90,4883.802184
-8.51,38,4893.151693
4.24,67,4902.409359
41.82,573,4998.876205
-8.96,33,5003.616518
7.93,213,5036.989941
0.99,138,5065.406475
30.25,343,5121.112828
