#{"t_start": 1605759184.8334513, "env_id": "ChromeDino-v0"}
r,l,t
2.42,46,18.742621
12.15,148,46.072717
2.57,48,52.645585
-4.44,80,68.494278
23.23,265,113.255294
17.4,310,167.762198
0.27,128,190.195127
0.2,128,211.639658
17.61,205,244.932821
-7.11,51,256.07032
24.58,384,320.850168
36.83,512,404.654395
12.51,256,446.079971
0.21,128,467.307332
4.2,65,475.947294
26.02,296,524.660681
8.16,107,542.744615
19.3,223,580.218548
7.5,205,616.015399
1.46,37,621.227429
-3.31,91,638.061664
0.14,128,659.245041
0.2,128,680.082098
0.05,128,701.832329
24.49,384,766.034507
12.09,256,809.827101
12.25,256,854.379143
24.29,384,921.389784
0.08,128,944.115867
17.8,209,977.312077
2.48,152,1001.997592
2.16,151,1031.337485
24.3,384,1097.272729
21.49,249,1136.984732
-11.32,7,1142.109729
12.25,256,1186.341137
-3.6,89,1199.522834
-8.26,39,1208.8532
4.37,68,1218.69669
12.76,157,1245.333853
-9.04,31,1253.556095
5.69,82,1265.258702
9.18,119,1285.870237
-6.83,55,1297.398535
0.23,128,1318.951385
0.12,128,1340.827781
0.2,128,1362.66836
0.19,128,1384.96127
0.11,128,1406.541018
25.83,293,1456.218605
21.06,347,1517.396981
0.16,128,1539.011269
0.16,128,1560.637344
12.28,256,1604.256487
0.22,128,1625.745845
0.18,128,1647.543724
7.39,98,1660.88807
-9.19,30,1668.918353
0.23,128,1690.32863
86.11,1024,1861.328679
5.88,82,1872.078076
16.86,302,1925.013963
4.14,64,1933.693877
-5.86,64,1946.060255
0.26,128,1967.327129
12.57,256,2010.316778
37.04,512,2094.177275
-1.28,111,2108.754525
26.57,401,2177.711424
12.57,256,2220.359374
12.53,256,2263.069422
12.5,256,2305.723281
24.68,384,2369.861838
0.22,128,2391.183121
12.46,256,2433.266348
12.46,256,2475.324499
12.47,256,2518.073938
12.36,256,2560.976254
0.27,128,2582.121211
0.37,128,2602.865017
12.75,256,2643.67098
0.36,128,2664.541323
0.44,128,2685.188465
12.68,256,2726.464147
5.25,177,2752.662095
-4.31,79,2767.222745
-1.73,106,2781.2631
14.83,278,2829.898834
0.27,128,2850.987466
0.3,128,2871.898943
6.28,86,2883.44806
-7.97,42,2893.092392
0.26,128,2914.368791
0.3,128,2935.139871
0.28,128,2955.78504
0.29,128,2976.910569
0.23,128,2997.840056
0.29,128,3018.895625
44.45,487,3095.907272
-9.62,25,3103.184101
0.2,128,3124.187901
19.16,222,3158.124669
-8.7,34,3166.585778
0.16,128,3187.927556
12.6,256,3229.083819
0.31,128,3249.094393
0.25,128,3269.516055
27.94,313,3318.599155
-5.14,71,3331.604436
0.27,128,3352.262096
37.1,512,3435.432507
0.24,128,3456.515333
-0.16,124,3473.049245
-11.62,4,3477.789613
0.16,128,3499.601526
24.53,384,3563.935495
12.35,256,3607.171741
4.98,73,3617.517381
13.3,161,3643.350208
-9.96,22,3650.730201
12.32,256,3694.624453
12.32,256,3737.672206
0.22,128,3759.361081
34.59,384,3824.062538
5.32,77,3834.438717
7.27,98,3852.6115
-4.25,81,3867.896242
0.13,128,3890.108678
6.69,91,3902.782019
-8.58,37,3911.932132
7.01,95,3925.659249
27.46,417,4000.436342
46.31,510,4084.458023
0.4,130,4109.767308
14.59,175,4137.64175
19.99,337,4194.54182
0.2,128,4215.95078
0.13,128,4237.241343
0.26,128,4258.092464
0.16,128,4278.800713
-4.61,77,4289.165412
5.13,179,4320.949976
0.26,128,4341.581106
33.48,371,4399.045113
-10.77,13,4404.752723
0.25,128,4425.790327
0.12,128,4446.902542
24.65,384,4510.540868
0.15,128,4531.797368
0.2,128,4553.447348
0.1,128,4575.233371
-6.65,56,4583.368384
6.97,200,4617.852662
0.23,128,4638.90627
12.39,256,4681.211643
8.88,115,4697.298028
2.55,49,4708.345733
-3.23,92,4724.880596
0.15,128,4746.273778
-8.94,33,4751.315285
5.99,189,4781.702869
12.96,159,4807.96819
-11.62,4,4812.752339
0.06,127,4834.091194
0.14,128,4855.582872
12.26,256,4899.575698
0.18,128,4921.186205
0.18,128,4942.296764
33.51,372,4999.634093
-10.9,12,5005.291395
18.72,218,5039.534844
-8.44,38,5048.919135
18.24,213,5083.19919
-7.93,43,5093.646446
