#{"t_start": 1605634669.3258471, "env_id": "ChromeDinoHandrafted-v0"}
r,l,t
3.89,61,19.529881
2.66,48,24.621454
6.14,85,35.899309
2.06,42,41.118472
3.19,54,47.577318
-7.67,44,52.569343
2.39,45,57.60627
3.18,53,63.785087
-7.54,46,68.760932
2.72,48,73.895251
4.5,67,81.300332
4.05,62,88.085343
4.04,62,94.9683
2.87,50,100.071812
4.28,65,107.450029
2.71,48,112.596492
3.78,60,119.248817
2.61,47,124.379857
4.62,68,131.57375
3.83,60,137.819914
2.62,47,142.897517
2.6,47,148.066719
5.14,73,155.553496
3.03,51,160.821621
3.95,61,166.965556
2.9,50,172.259586
2.91,50,177.457173
-3.97,83,186.242316
2.72,48,191.295362
2.98,51,196.335877
-5.82,63,203.020973
3.49,56,209.020493
3.63,58,214.923867
2.77,49,220.084985
-7.09,50,225.099543
3.53,57,231.507341
2.61,47,236.604373
-5.17,70,243.951184
4.44,66,251.556138
3.12,52,256.839265
2.69,48,261.910518
6.93,92,271.260515
5.92,82,279.917062
3.2,53,285.078674
3.57,57,291.165277
2.77,49,296.3913
-6.31,58,302.743085
-7.47,46,307.718966
3.09,52,312.934296
4.17,63,319.453591
5.29,74,326.726315
5.05,72,334.011529
4.46,66,341.08094
-6.82,52,346.070784
-6.82,52,351.038686
2.28,147,366.444825
5.99,82,374.488361
2.61,47,379.601007
-1.43,109,391.391535
4.48,66,398.766231
-2.7,96,409.165986
2.87,50,414.341923
4.23,64,421.060158
4.15,63,427.41275
3.63,58,433.94618
2.4,45,439.144912
2.21,43,444.263532
2.58,47,449.410014
3.34,55,455.850984
2.58,47,460.920413
4.57,68,468.304992
2.78,49,473.649029
2.89,50,478.7421
2.89,50,484.012213
5.03,72,491.565484
2.7,48,496.621813
4.01,62,503.245062
4.83,70,510.31259
