#{"t_start": 1605752986.3780386, "env_id": "ChromeDino-v0"}
r,l,t
-7.43,48,12.171314
-8.47,37,17.226926
1.42,36,22.35717
-11.23,8,28.041148
-7.78,44,34.163238
2.64,49,40.960004
-8.7,35,49.8524
1.49,37,54.948118
1.43,36,60.014286
-7.16,51,66.996569
-11.63,4,71.960826
-8.69,35,77.045305
1.69,39,82.377017
-7.39,49,89.454006
-11.55,5,94.583433
1.47,37,99.726323
0.98,32,104.867097
0.74,29,109.831563
-9.27,29,114.740425
-11.91,1,119.519954
-8.12,41,125.712861
0.8,30,130.653335
-7.72,46,137.999897
-10.97,11,143.985414
-9.14,31,148.875074
-5.41,70,159.7201
-9.49,27,168.755831
-8.03,42,175.45098
-6.36,60,184.89857
-6.89,55,198.566579
1.32,36,204.431836
0.68,29,209.360468
-9.24,29,214.22469
-11.55,5,219.3329
0.81,30,224.346621
1.45,37,230.342283
-9.17,30,235.155696
0.78,30,240.072176
-11.81,2,244.936777
0.68,29,249.855341
1.85,41,256.599145
1.62,39,262.886541
3.04,54,276.44663
1.29,35,282.49141
1.07,33,287.37748
-6.89,55,300.385693
1.37,36,306.22752
1.02,32,311.343171
4.22,66,326.006001
3.02,54,334.799208
0.83,30,339.762331
-8.34,39,350.351312
1.97,42,356.733287
1.59,38,362.631343
-10.46,16,369.07447
1.39,36,373.983532
1.02,32,378.967154
1.02,32,383.930285
-6.21,62,396.907491
0.82,30,401.884464
-6.38,59,410.7179
-11.55,5,415.769828
-7.79,44,421.86432
-8.77,34,426.844958
2.44,47,433.410622
-11.71,3,438.275718
1.71,39,444.291131
1.07,33,449.332237
-9.19,30,454.25412
-9.52,26,462.697542
-8.21,40,468.594119
1.27,35,473.577178
1.42,36,478.545115
-10.38,17,484.878511
-8.16,41,490.56515
-8.15,41,496.780019
2.01,42,502.897728
-11.63,4,507.795386
3.22,55,515.510951
2.77,50,522.473521
-9.82,23,530.111226
1.45,36,535.070982
1.5,37,540.078057
1.27,35,545.075615
3.76,61,557.961956
-7.63,46,564.95216
1.47,36,569.967872
-11.52,5,575.104763
-7.9,43,581.150616
-8.72,34,586.007188
6.39,88,601.977484
1.64,38,607.060214
-6.99,53,618.281831
-8.77,34,623.188803
-8.63,35,628.029148
1.19,34,632.974188
5.53,79,648.401451
2.21,44,654.561257
4.29,66,667.633097
1.31,35,672.582263
1.2,34,677.559654
-9.82,23,685.206299
2.9,52,692.376327
2.76,50,699.05504
3.94,63,712.152084
3.41,57,719.953891
-5.25,70,733.705949
1.32,35,738.687766
1.1,33,743.624428
-9.7,24,751.208599
3.15,54,758.500767
1.9,41,764.31638
-8.87,33,772.914363
2.56,48,779.55686
-6.81,55,787.421859
-9.59,25,794.927156
4.73,70,804.160129
2.38,46,810.310045
6.45,89,827.023358
-7.1,51,838.11649
-6.54,57,845.500414
1.52,37,850.521836
-8.71,34,859.005482
-7.81,43,864.688763
1.69,38,869.709966
-8.51,36,874.742526
-10.91,11,881.712625
1.25,34,886.822967
1.95,41,892.771252
1.02,32,897.678066
-9.98,21,905.633971
0.87,30,910.554589
4.18,65,920.671214
0.92,31,925.634122
1.15,33,938.439044
-10.14,20,943.408558
-9.07,31,950.778883
-9.71,24,956.492062
-10.17,19,961.578425
-11.71,3,969.314641
-10.19,19,974.195143
2.7,50,983.836132
-8.32,39,991.084194
-10.07,20,999.363109
1.99,42,1007.170416
2.19,45,1014.780411
0.83,30,1019.831564
-10.95,11,1026.766009
1.72,39,1033.173811
0.86,30,1038.193721
0.84,30,1043.217736
-6.74,55,1058.947444
-10.03,21,1063.789585
-9.32,28,1069.906537
0.1,22,1075.006285
-6.26,61,1089.945622
2.32,46,1097.735298
1.02,32,1102.703416
4.8,72,1120.23939
1.15,33,1126.13747
5.05,75,1143.665913
0.96,31,1148.594001
2.3,45,1156.14356
2.61,49,1171.322811
-10.03,21,1176.371348
1.65,39,1186.224096
0.55,27,1191.200294
-10.84,12,1197.807609
0.65,28,1202.729186
0.93,31,1207.890733
1.26,34,1213.788946
-6.09,63,1230.562902
2.19,44,1238.698906
0.36,25,1243.657677
-6.81,55,1260.251268
0.29,25,1266.464936
0.06,22,1271.47338
0.86,31,1276.407143
3.43,58,1289.344055
0.89,31,1294.201103
0.91,31,1299.157549
1.14,33,1304.232157
-0.1,20,1311.638551
0.94,31,1316.639056
0.81,30,1321.62058
1.45,37,1327.627
1.88,42,1338.850192
0.93,31,1343.87104
0.74,29,1348.987844
0.5,27,1353.8276
-11.07,10,1360.005713
2.11,44,1367.369781
0.6,28,1372.283136
0.9,31,1377.387614
-9.66,25,1386.094669
0.94,31,1391.210718
1.36,36,1397.347149
1.22,35,1403.352529
-9.55,26,1411.79811
0.69,29,1416.753332
-8.44,38,1422.704562
-6.96,54,1431.908744
1.51,37,1442.424935
-8.52,37,1448.327422
1.74,40,1454.750149
-9.98,21,1462.591116
-9.32,29,1467.439488
0.45,26,1472.310276
0.9,31,1477.254353
0.96,32,1482.242429
-11.08,10,1488.808026
0.88,31,1493.684133
-9.3,29,1498.666249
1.27,35,1504.531549
-3.69,89,1524.750086
0.97,31,1529.751021
-9.5,27,1534.644305
-10.68,14,1541.538678
0.42,26,1546.44208
0.92,31,1551.431904
0.91,31,1556.44198
1.77,40,1567.826747
0.75,30,1572.934119
0.88,31,1577.851252
0.81,30,1582.977291
0.58,28,1587.871156
-11.12,9,1593.584365
-7.89,44,1601.570937
-8.64,36,1607.586979
1.48,37,1613.533724
1.69,40,1624.811347
-7.34,50,1632.974787
-9.34,29,1637.940463
2.7,51,1650.846381
0.95,32,1655.834418
1.39,36,1661.75812
-9.43,28,1666.708255
-11.9,1,1671.564071
5.3,78,1684.90819
1.44,37,1690.993304
-8.33,40,1702.802096
1.42,37,1709.871772
-8.98,33,1716.053928
3.98,65,1731.379349
-9.48,27,1736.174329
1.13,34,1742.07823
3.88,63,1756.799323
1.14,34,1762.750223
0.46,27,1767.674447
0.58,28,1772.648035
-7.74,46,1784.395279
-9.2,30,1789.364219
1.56,38,1795.644255
3.53,59,1809.745526
1.45,37,1815.475345
0.96,32,1820.4681
3.41,59,1836.209828
1.73,40,1843.322607
0.63,29,1848.286873
4.93,74,1865.296001
0.88,31,1870.344249
0.69,29,1875.224594
-8.11,42,1887.932492
0.5,27,1892.986931
-9.37,28,1897.879509
0.86,31,1902.845211
2.42,48,1914.910115
1.49,38,1921.027459
-9.15,31,1925.904185
3.33,58,1939.20188
1.46,37,1945.071303
0.88,31,1950.05663
3.56,60,1964.177783
2.3,46,1971.419074
0.88,31,1976.44271
-10.06,21,1983.965708
0.84,30,1988.917147
1.31,35,1994.950213
0.79,30,1999.817285
3.46,60,2014.70945
0.74,30,2019.670985
0.38,26,2024.558331
0.77,30,2029.590325
-10.56,15,2036.957799
0.59,28,2041.975533
0.6,28,2047.00945
1.12,34,2052.991209
0.78,30,2057.886915
1.5,38,2068.58797
0.78,30,2073.483078
-5.63,68,2088.799544
2.47,48,2096.581251
0.88,31,2101.570832
2.19,45,2108.612225
-11.62,4,2113.479012
2.23,45,2120.522195
0.74,30,2125.431671
0.85,31,2130.362172
-9.96,22,2137.66486
-9.09,31,2142.544918
2.75,51,2150.805084
0.76,30,2155.698678
2.26,46,2167.494455
0.98,32,2172.449544
1.42,37,2178.224534
0.67,29,2186.919064
0.97,32,2191.959032
1.9,42,2198.322944
0.88,31,2203.321574
2.89,53,2216.017131
-9.23,30,2220.934394
0.97,32,2225.851472
-9.12,31,2230.766608
-11.54,5,2235.629302
3.24,56,2244.426832
-8.46,38,2250.22615
0.79,30,2255.118239
-11.62,4,2260.056335
0.88,31,2264.930614
1.03,32,2269.943207
-9.12,31,2274.84635
1.19,34,2283.612951
1.38,36,2289.357174
4.52,69,2299.86618
-9.82,23,2307.394168
1.71,40,2313.543628
1.12,33,2318.489239
1.05,33,2323.475988
3.34,57,2337.455356
0.8,30,2342.522259
0.91,31,2347.585983
8.4,109,2367.830266
0.8,30,2372.796638
-10.08,21,2380.474315
2.07,43,2387.065374
3.1,54,2395.220434
4.68,71,2410.094226
-7.8,45,2417.204957
-7.95,43,2428.2466
-6.5,58,2436.918482
2.58,49,2444.348193
3.67,61,2458.056564
1.06,33,2463.045115
3.08,54,2471.477348
-1.52,5,2476.420357
1.74,40,2482.130972
1.08,33,2486.998626
1.96,42,2492.869322
3.83,62,2506.439576
1.41,36,2511.38778
1.08,33,2516.306446
-11.44,6,2521.536219
4.09,63,2530.389871
-7.68,45,2536.673334
4.22,65,2549.187421
-8.02,42,2554.957917
-8.1,41,2565.003129
-8.27,40,2570.86943
1.39,36,2575.858479
2.88,51,2583.088938
-0.02,21,2591.025072
2.21,44,2598.046741
1.19,34,2603.227024
-9.15,30,2611.939699
-7.71,45,2618.135107
2.29,46,2624.900941
4.33,68,2639.689003
0.87,31,2644.585237
-8.45,38,2650.52362
-9.33,28,2658.854036
-5.77,67,2668.91844
2.86,51,2676.481489
3.85,62,2690.758672
1.59,38,2696.790373
1.11,33,2702.889837
-11.52,5,2708.758801
1.44,36,2713.87861
3.8,62,2722.989539
-9.18,30,2731.763067
1.35,35,2736.710606
4.47,69,2746.821527
12.44,152,2777.582566
1.34,35,2782.596077
5.46,79,2793.633729
-10.65,14,2799.745331
2.15,43,2805.758869
-3.94,85,2821.60157
5.65,81,2834.607091
19.88,231,2875.313695
4.61,70,2884.810174
0.42,130,2910.746389
1.39,36,2915.724185
1.4,36,2920.764337
13.53,163,2946.423259
4.36,67,2959.144582
4.57,69,2968.199518
-10.75,13,2973.948984
0.34,128,2993.980413
2.45,46,2999.930358
8.05,210,3036.505678
0.19,128,3059.337094
0.22,128,3080.863366
0.24,128,3102.900986
-5.55,68,3113.153338
1.66,39,3119.036068
-2.71,99,3138.311604
2.01,42,3144.485178
4.23,66,3159.275347
12.75,260,3207.587826
-5.78,66,3222.080165
6.52,90,3234.816848
-8.46,38,3244.699919
9.5,121,3262.17787
4.22,66,3276.54878
1.26,35,3281.424047
-5.01,74,3296.467112
-8.08,42,3302.459484
-7.67,46,3313.375825
0.17,128,3336.281941
0.21,128,3358.358335
7.92,209,3393.085741
10.72,134,3418.698146
-8.29,39,3425.521524
-11.81,2,3430.61224
8.25,213,3465.426899
-7.94,43,3476.098335
-2.95,96,3490.599802
0.26,128,3513.594189
-8.97,32,3522.857278
-8.63,35,3527.659752
4.95,179,3557.406517
-8.02,42,3566.979152
0.09,128,3589.659945
12.26,256,3636.312125
7.29,98,3651.21349
-9.15,30,3659.665728
4.2,66,3669.387887
1.06,33,3674.225351
-9.3,29,3682.435934
5.01,179,3712.664921
-4.64,77,3727.595401
0.17,128,3750.716133
-1.75,107,3766.158518
4.15,65,3779.385547
1.59,38,3784.490452
-7.71,46,3794.983157
24.37,384,3862.951871
0.96,32,3867.919166
-2.9,96,3885.710137
0.12,128,3908.477414
0.21,128,3931.175444
-9.28,29,3936.0159
16.36,193,3967.811056
-8.8,34,3977.534635
3.96,63,3986.944626
-5.86,65,4001.008018
0.12,128,4024.302913
-9.3,29,4029.153237
11.52,144,4056.368008
10.86,241,4100.511791
2.57,154,4128.342035
-2.26,103,4149.040706
9.45,225,4188.068533
-2.71,98,4201.442107
-9.16,30,4209.644107
-9.07,31,4214.485877
9.4,225,4255.195898
0.17,128,4277.394553
0.73,29,4282.200097
-6.46,58,4290.27181
-8.1,41,4300.549629
12.46,256,4346.228432
4.7,175,4375.554898
17.83,209,4412.59369
0.2,128,4434.747875
-7.62,46,4442.031418
0.63,28,4446.866794
-6.95,54,4459.997942
0.16,128,4483.40308
2.61,49,4490.907743
-5.18,72,4502.243354
-11.33,7,4508.323157
9.96,231,4546.871692
2.49,153,4576.742411
-4.61,78,4588.479141
0.64,133,4613.603979
-7.76,45,4625.728914
15.77,187,4657.337683
4.49,68,4666.720258
-11.91,1,4671.611833
0.16,128,4695.811192
4.27,66,4705.835341
-6.04,62,4718.555183
0.19,128,4740.407269
24.54,384,4806.422467
3.25,161,4833.598223
-2.96,95,4851.500329
14.71,283,4902.334672
1.06,33,4907.260542
14.82,177,4939.039872
16.85,305,4997.842955
-2.7,98,5017.617215
0.2,128,5040.200485
0.17,128,5063.079195
0.16,128,5086.214663
-6.08,63,5096.352116
-2.44,100,5117.688887
-7.93,43,5127.248483
2.3,46,5134.265738
3.68,60,5146.536653
6.93,200,5183.518723
6.71,91,5196.732745
8.62,112,5217.447538
9.5,121,5238.657294
-6.21,60,5251.151611
0.14,127,5268.818121
-11.81,2,5273.697302
5.65,80,5284.928179
-7.47,47,5296.596012
6.21,86,5309.231965
-8.01,42,5319.188898
0.24,128,5340.475894
-7.04,52,5348.134345
-4.71,76,5363.145075
-9.2,30,5367.958852
-2.69,98,5387.163156
-9.65,24,5392.047388
-9.69,24,5396.935451
-9.03,31,5403.585494
4.78,177,5439.293834
12.41,256,5482.476814
24.61,384,5550.852589
