#{"t_start": 1605752973.243743, "env_id": "ChromeDino-v0"}
r,l,t
-7.79,44,24.583723
1.52,37,29.709748
-4.04,84,46.047336
2.06,43,52.058686
6.25,86,67.975795
1.97,42,73.949763
-8.49,37,78.94136
-10.87,12,84.947564
1.32,35,90.074753
1.56,37,95.076736
1.74,40,101.041807
-10.43,16,107.581119
2.55,48,114.405876
0.75,29,119.544688
1.22,34,124.915172
-8.89,33,135.007921
0.99,32,140.064343
-4.54,80,156.991765
-9.07,31,161.849077
-7.78,45,168.916551
-8.41,38,174.996069
-10.71,14,181.772439
-8.51,37,187.67966
-8.43,38,193.640351
0.72,29,198.558376
2.98,53,211.528336
0.8,30,216.40454
1.16,34,222.250849
4.05,65,237.31276
2.43,47,245.024425
-7.34,50,253.098186
-11.16,9,259.161385
1.67,39,265.703248
1.9,42,272.737239
-8.51,37,278.650371
-11.82,2,283.525813
1.21,35,289.302062
0.59,28,294.256289
1.67,39,300.128335
-9.56,26,308.42294
0.91,31,313.369112
0.78,30,318.344372
1.12,33,323.485554
0.84,30,328.360608
-11.53,5,333.268016
0.89,31,338.239056
0.82,30,343.099982
2.49,48,350.953207
2.61,49,363.118921
2.65,49,370.715453
5.9,84,386.994021
1.05,32,391.968228
-9.07,31,396.823729
4.79,72,411.565157
1.63,38,417.570908
5.85,83,433.846135
-8.78,34,438.706601
-8.72,34,443.576972
-9.72,24,451.29515
-8.21,40,457.514698
1.09,33,462.560825
-8.64,36,468.577816
-6.39,59,481.610729
-8.76,34,486.42733
1.4,36,491.376011
-10.26,18,497.900503
-8.69,35,502.765963
-5.87,65,512.538424
-9.37,28,520.785934
1.28,34,525.628055
-8.02,42,531.440255
2.11,43,537.51042
2.28,45,548.067765
1.45,36,552.972312
3.25,55,560.838394
-10.77,13,566.918894
1.24,34,571.81197
1.15,33,576.784452
1.93,41,582.594559
-11.23,8,588.099346
1.28,34,592.944938
1.22,34,597.868171
2.18,44,603.814828
-6.99,52,614.830198
1.55,37,619.778875
-7.79,44,625.726851
3.57,58,638.027897
1.34,35,643.025203
1.89,41,648.955116
-11.53,5,653.949163
-6.52,58,662.017583
1.34,35,666.911403
5.34,77,681.544366
2.02,42,687.43434
0.97,32,692.303034
-10.89,12,698.214092
1.41,36,703.247425
1.47,36,708.219074
2.23,44,714.118342
-10.83,12,720.209717
1.55,37,725.204598
1.51,37,730.156826
1.43,36,735.105139
-10.27,18,741.780613
1.5,36,746.736762
-7.09,51,754.105906
1.2,34,759.184392
-11.36,7,764.224383
1.33,35,769.09686
3.16,54,776.539315
-8.24,39,785.921492
1.39,36,791.05957
1.32,35,795.892295
-7.04,52,803.200656
-0.55,15,809.161636
-8.46,37,813.942468
1.34,35,818.810763
2.28,45,824.904138
-0.97,11,830.833242
1.37,36,835.828777
1.36,35,840.737143
1.56,37,845.655162
-11.04,10,851.125631
-8.45,37,855.945733
-3.25,91,872.013892
1.51,37,876.888371
1.54,37,881.868099
-7.84,43,887.742589
-5.92,64,902.779956
1.44,36,907.913694
1.07,32,912.813237
-11.32,7,918.618356
0.85,30,923.569774
1.61,38,929.30621
0.96,31,934.371695
-6.72,55,950.219544
0.12,23,955.83135
-9.07,31,963.269995
-8.17,41,973.132169
-11.33,7,982.220555
3.01,53,994.086332
3.32,56,1004.310233
-10.15,19,1012.285942
-9.64,25,1017.227013
-9.29,28,1022.05536
-9.21,29,1026.966503
1.23,34,1032.657095
-8.09,41,1044.554341
0.9,30,1049.501858
2.27,45,1057.094127
-9.69,24,1066.089595
0.09,22,1071.079852
