#{"t_start": 1605661949.2258687, "env_id": "ChromeDinoHandrafted-v0"}
r,l,t
6.91,90,20.369249
2.97,50,25.3812
7.28,96,35.890528
-7.73,43,40.378108
3.35,54,45.602588
8.82,111,56.738506
-7.67,44,61.758241
5.45,76,69.606657
3.27,54,74.924417
4.28,64,81.136297
8.36,106,91.815664
4.4,65,98.411995
5.43,76,106.379211
3.54,56,111.561996
-6.84,52,116.50828
-6.21,58,121.589392
5.55,77,129.62185
7.38,96,139.184251
3.01,51,144.335352
4.88,70,151.095966
2.65,149,165.815469
-7.04,50,170.788378
6.64,88,178.866278
4.93,71,186.879611
-5.16,70,193.652497
6.03,82,201.608411
3.71,58,206.679436
6.71,89,216.534556
3.81,59,221.73497
-4.94,72,228.283759
6.54,87,236.327004
-4.07,81,244.296474
3.41,55,249.467441
5.85,80,256.810606
7.89,101,266.458565
4.6,67,273.339656
3.41,55,278.501473
7.22,95,288.406392
3.98,61,294.948247
11.89,142,308.594106
3.1,52,313.673771
3.61,160,329.894877
-6.83,52,334.913461
4.09,62,341.270881
4.7,68,347.982784
7.65,98,357.655167
4.77,69,364.261043
-3.67,85,372.723524
13.18,258,398.745826
18.08,206,419.000669
6.17,83,426.467032
5.08,72,433.758658
9.83,121,446.191777
6.89,91,454.912793
8.69,109,464.916502
9.01,112,475.718943
10.78,130,488.292989
4.7,68,495.225412
3.63,57,500.273283
6.46,86,508.204771
-3.6,85,515.894762
3.7,58,521.109117
8.96,112,532.671143
8.6,108,543.416337
1.61,139,556.878614
5.3,74,563.579484
5.46,76,571.627332
3.05,51,576.960433
-5.57,65,583.21766
3.55,56,588.411079
3.45,55,593.558714
7.1,93,603.14922
21.8,245,628.807851
6.58,87,637.254647
11.62,140,651.586659
3.14,52,656.822575
5.42,75,664.006318
4.51,66,670.303782
3.06,51,675.519151
14.24,166,690.898755
9.91,122,703.277857
42.91,461,751.826649
-7.33,47,756.801395
6.82,90,766.552319
6.41,86,775.485853
-3.71,84,783.5821
21.01,236,808.138843
11.73,140,823.265356
-7.31,47,828.238333
-5.76,63,834.667266
4.62,67,841.079841
3.53,56,846.321833
13.69,161,863.584614
12.77,151,879.479575
3.22,53,884.616654
3.64,57,889.795558
14.25,268,916.477581
9.15,114,927.861427
11.35,136,941.350867
-7.01,50,946.327436
-7.11,49,951.3046
4.66,170,969.299475
6.16,83,977.432474
27.94,306,1007.894769
3.16,52,1013.036638
3.74,58,1018.221786
14.27,166,1035.070968
-5.48,66,1041.581158
4.32,64,1048.256201
3.05,51,1053.570208
12.72,150,1068.241723
18.01,204,1086.252769
11.03,133,1098.804819
5.11,72,1105.188708
16.33,186,1121.169616
6.61,87,1128.66384
-6.64,54,1133.655632
6.49,86,1141.796748
-0.55,116,1152.854847
14.33,166,1169.373088
15.46,178,1187.2864
9.91,121,1199.106029
13.55,158,1214.489074
3.33,156,1229.798836
-6.95,51,1234.835581
-3.97,81,1242.285181
-4.67,74,1249.793043
18.85,212,1271.10327
-0.66,115,1283.030385
12.96,152,1298.00296
-4.88,72,1305.311789
3.35,54,1310.417895
-3.52,86,1319.043448
18.55,313,1351.163174
15.35,177,1368.518702
19.39,219,1390.399565
-0.86,113,1401.67845
13.79,161,1418.386797
4.92,70,1424.652121
11.92,142,1437.305197
26.41,392,1474.285851
26.53,292,1503.32879
-5.47,66,1509.500355
7.79,100,1519.411861
5.95,81,1527.36605
-4.29,78,1534.689165
7.43,96,1543.94647
58.89,614,1595.130765
-7.31,47,1600.116889
-5.1,70,1607.670093
10.8,234,1632.029899
5.06,175,1650.328001
5.35,178,1669.073559
4.82,169,1706.363856
12.28,249,1731.588122
4.59,67,1738.726998
11.53,139,1753.411072
-4.58,75,1760.965345
2.74,48,1766.176463
0.56,129,1780.112724
4.05,164,1796.403425
31.43,346,1834.958277
-5.27,68,1841.33761
23.98,371,1881.252922
-5.55,65,1887.824075
7.48,97,1898.465688
-7.11,49,1903.428772
1.85,142,1918.662404
21.5,242,1943.670541
2.85,49,1948.918365
5.96,184,1969.194274
13.46,261,1996.231447
12.27,146,2011.600563
3.94,60,2016.936848
8.01,102,2027.755353
11.13,135,2041.891711
3.22,53,2048.129924
19.39,220,2070.251611
3.05,51,2075.507099
5.86,80,2083.484018
12.36,147,2098.030213
17.4,199,2119.902759
-2.66,95,2129.133527
13.08,155,2146.065805
-0.86,114,2158.36921
14.81,276,2187.799775
9.08,113,2198.253758
4.15,165,2215.585803
23.83,266,2243.296075
13.9,163,2259.7329
20.83,234,2282.773814
4.88,70,2289.143543
24.56,273,2316.333179
31.25,342,2349.391124
-4.4,77,2357.115719
5.67,78,2364.865382
10.28,228,2386.771715
-6.81,52,2391.72869
2.01,143,2407.253374
12.41,250,2432.016009
6.13,185,2452.234783
-1.69,105,2463.679027
7.97,101,2473.21636
2.53,148,2488.677065
23.66,263,2517.277828
70.8,740,2584.551954
416.58,4294,2978.746051
8.02,205,2998.660556
72.78,766,3072.997276
7.13,195,3091.5826
20.5,332,3123.552751
1.8,140,3137.12379
-3.0,91,3145.919727
51.27,544,3197.798161
3.76,58,3202.936902
26.68,294,3231.89445
7.93,206,3252.545562
26.31,387,3286.519081
7.12,195,3305.073412
6.67,190,3324.678913
-7.21,48,3329.640981
-4.99,71,3336.843895
3.46,55,3342.047106
40.86,439,3387.066313
9.14,113,3397.620239
7.57,199,3416.265847
3.05,51,3421.437287
16.33,187,3437.763484
16.6,190,3455.734551
3.2,155,3470.286133
6.66,190,3489.755683
26.71,396,3531.311026
21.58,241,3556.264101
19.67,222,3578.828458
4.56,66,3584.131527
30.7,334,3614.194564
5.79,79,3621.835589
-2.71,94,3631.240628
44.22,574,3691.949016
0.84,130,3704.888966
43.69,465,3751.644495
3.55,56,3756.864929
99.37,1133,3870.224554
26.19,287,3899.171296
37.13,398,3939.726204
-5.07,70,3946.985003
-1.74,104,3957.924423
5.8,79,3965.75623
-4.47,76,3973.482499
-2.69,94,3983.376709
22.58,250,4008.415585
42.16,551,4063.699447
3.76,58,4069.055092
21.87,243,4093.456304
-1.23,109,4104.04545
31.28,339,4137.882693
5.51,178,4156.310345
59.65,630,4221.828004
30.67,334,4256.115372
18.38,207,4277.003194
-4.29,78,4284.702656
1.21,134,4298.216243
7.29,196,4318.401025
10.09,123,4330.955098
4.35,167,4348.696324
-0.67,115,4360.167578
24.19,267,4388.143302
5.6,179,4406.775762
9.15,113,4418.718549
39.44,422,4460.775682
