#{"t_start": 1605661952.4520137, "env_id": "ChromeDinoHandrafted-v0"}
r,l,t
-3.38,87,16.794215
4.15,63,23.115925
-7.37,47,28.206192
6.02,82,37.204303
3.15,52,42.203839
3.44,55,47.442133
7.32,95,57.603439
2.7,48,62.710169
-7.18,49,67.66913
5.64,78,75.256467
3.21,53,80.441534
-4.97,72,87.840823
11.66,140,102.27927
3.21,53,107.336385
4.34,64,113.416251
5.29,74,120.273686
2.74,48,125.301335
4.9,70,132.34526
3.16,52,137.34323
3.89,60,143.465152
3.55,56,148.677607
5.31,74,156.340863
7.01,92,165.258721
-4.41,77,172.035333
4.37,65,178.550784
-3.22,90,188.601541
-5.63,65,194.801046
3.41,55,200.019341
3.64,57,205.121362
4.44,66,212.646024
7.71,99,221.566318
10.3,126,233.153796
5.64,78,240.734025
-1.18,110,251.063974
5.85,80,258.658277
7.34,96,268.31802
6.67,88,276.68172
3.12,52,281.978554
2.92,50,287.191807
-7.55,45,292.190038
6.16,83,300.186396
13.95,164,316.408559
-6.92,51,321.392803
2.94,50,326.442724
7.1,93,335.83808
-7.21,48,340.791753
7.52,97,349.89756
9.92,122,362.007482
5.98,81,370.059708
-4.42,77,377.628594
4.52,66,384.592626
3.16,52,389.731038
5.62,78,397.551806
12.52,149,412.413896
3.63,57,417.519855
3.74,58,422.726156
-6.94,51,427.74129
6.15,83,436.75274
6.16,83,444.798692
4.37,65,450.926756
3.69,58,456.137948
3.43,55,461.327083
7.71,99,470.84259
4.5,66,477.221246
3.35,54,482.553939
5.84,80,490.73819
5.22,73,497.371069
-4.98,71,503.891967
6.11,82,511.308388
0.56,127,523.450455
2.94,50,528.470026
9.66,119,540.384839
3.45,55,545.669687
7.74,99,555.278596
7.64,98,564.78968
7.72,99,575.08397
5.55,77,582.463986
3.65,57,587.620361
4.68,68,594.102001
4.86,70,601.72973
5.97,81,609.928484
-2.33,99,620.577965
6.36,85,629.041824
3.11,52,634.1791
4.75,69,641.365818
2.85,49,646.495776
11.62,139,659.952381
10.15,124,672.03484
3.65,57,677.18713
3.46,55,682.458318
7.62,98,691.911703
7.03,92,701.263475
3.34,54,706.488923
7.78,100,716.788181
-7.32,47,721.732077
10.56,129,736.232059
26.03,288,766.732867
6.43,86,775.412608
17.02,194,795.211921
17.95,205,817.162056
11.38,137,831.198733
9.28,115,842.11407
5.28,74,849.760857
14.05,267,878.196382
10.38,126,890.146911
-1.69,105,900.532888
-5.95,61,906.942787
55.92,594,966.911123
7.5,97,976.332629
-4.2,79,983.810477
0.28,125,997.192549
3.25,53,1002.343376
7.23,94,1011.151206
14.48,168,1027.862235
3.25,53,1033.115901
36.9,398,1071.608015
11.24,133,1083.759359
3.76,58,1089.0132
7.13,93,1097.989617
4.17,62,1103.309641
10.33,227,1122.669617
3.25,53,1127.72552
26.88,397,1165.944963
13.33,156,1181.854479
36.57,394,1220.207113
-7.03,50,1225.169636
-5.45,66,1231.665369
17.18,298,1261.139612
3.05,51,1266.250924
15.42,177,1284.094749
-5.34,67,1290.875901
12.36,146,1305.265882
3.44,55,1310.332523
5.28,74,1318.095033
-1.34,108,1329.325654
21.95,245,1353.938699
2.96,50,1359.211682
-3.07,90,1367.788199
10.81,131,1381.153466
3.35,54,1386.363413
-7.01,50,1391.335474
-2.17,100,1401.286644
0.83,131,1414.950247
3.65,57,1420.105465
23.24,258,1442.906078
39.88,430,1485.096067
13.8,161,1500.821833
-0.98,112,1511.530494
8.85,111,1522.594607
0.92,132,1535.310677
17.75,298,1558.418786
9.12,113,1566.833153
-1.47,107,1576.111693
8.4,209,1597.793489
-4.8,73,1605.524508
2.86,49,1610.625592
-5.45,66,1616.979177
27.7,306,1649.472229
4.3,64,1656.014402
8.97,215,1687.459358
-11.8,2,1694.225267
-11.9,1,1699.272566
-6.55,55,1704.500208
1.66,139,1717.598285
28.31,416,1761.946248
14.03,165,1779.475045
31.48,449,1828.084926
13.45,159,1843.99845
-0.73,116,1857.096466
0.11,124,1870.165052
8.3,106,1881.25779
-2.96,92,1891.014365
7.12,197,1912.047269
12.56,150,1927.856357
5.37,75,1935.435854
6.04,82,1943.845478
7.08,93,1954.000134
11.65,140,1969.639294
-7.11,49,1974.659877
11.94,143,1989.3482
4.32,64,1995.678211
-3.84,83,2004.662082
3.24,53,2009.983233
14.72,172,2027.01457
16.25,188,2047.663315
10.16,125,2060.288214
3.25,53,2065.555356
10.09,124,2078.189546
8.25,105,2088.659823
3.54,56,2093.96032
15.85,184,2114.270586
3.54,56,2119.526246
19.46,221,2143.334468
0.67,130,2157.408864
54.31,686,2228.307451
18.84,214,2250.496801
-6.71,53,2255.493099
19.81,224,2277.637535
-4.3,78,2284.857707
14.9,173,2302.074395
3.44,55,2307.325173
16.74,193,2326.284528
23.1,361,2361.690101
6.35,85,2369.117227
19.99,329,2403.124079
9.45,219,2424.737102
7.57,200,2446.194531
1.81,141,2461.456315
8.18,207,2482.171739
16.83,295,2514.244707
6.86,194,2533.794125
9.51,220,2556.990336
57.45,700,2608.431971
108.94,1236,2721.864826
1.69,139,2734.470014
-4.73,73,2741.077197
25.73,386,2778.075276
24.56,272,2803.857818
3.81,160,2818.511015
3.66,57,2823.715413
5.15,174,2838.739807
75.85,900,2926.177051
14.05,164,2941.409186
34.38,372,2976.913752
47.27,504,3025.79848
-7.01,50,3030.773853
25.15,380,3067.761322
44.29,474,3113.588104
26.4,392,3149.845952
37.5,404,3189.589304
11.4,136,3201.899644
3.36,54,3207.146333
11.23,135,3220.481981
-3.9,82,3228.725154
24.16,266,3253.803123
22.75,351,3285.539608
17.46,300,3314.847339
15.37,280,3343.543296
29.44,321,3377.198805
-6.61,54,3382.173841
15.48,278,3407.871323
5.67,78,3415.470146
4.43,65,3421.510232
-7.01,50,3426.523117
3.96,60,3431.633391
17.89,203,3450.22986
5.41,75,3456.797699
5.46,178,3474.674997
-0.46,117,3486.584964
16.72,293,3517.309504
6.15,185,3536.903764
38.14,411,3578.241858
0.49,127,3589.139752
5.59,77,3595.855706
5.99,81,3602.961975
64.42,780,3683.197602
6.06,82,3691.753252
-7.11,49,3696.721092
3.26,53,3701.921742
28.1,306,3732.363434
99.2,1030,3835.301116
46.62,495,3885.367637
14.03,265,3911.910624
3.86,161,3928.353955
70.29,841,4014.097853
25.39,380,4052.335888
6.85,90,4061.181451
34.87,477,4108.014281
6.56,188,4127.181683
-5.74,63,4133.401173
40.89,541,4189.152466
33.7,466,4237.68191
-5.05,70,4244.928922
16.23,287,4273.977517
20.72,334,4307.656679
38.33,412,4350.274675
6.01,183,4368.890933
8.29,207,4390.895137
54.09,571,4449.671507
5.03,71,4456.155933
3.67,57,4461.29009
34.69,476,4507.821849
10.28,125,4520.857141
5.43,177,4539.166407
16.73,191,4558.840906
25.43,279,4587.152897
4.14,62,4593.36951
3.37,156,4608.945062
-5.07,70,4616.752951
4.08,164,4636.848266
17.99,307,4670.958359
27.04,295,4697.610882
8.38,105,4707.222288
9.83,222,4728.782809
10.91,232,4753.396133
9.53,117,4764.564996
17.61,300,4794.110191
-7.81,42,4799.108462
-5.65,64,4806.604822
12.73,251,4836.5183
-4.27,78,4845.887321
35.91,386,4888.696422
10.99,132,4902.565984
23.76,364,4942.360303
13.07,153,4957.069748
8.95,213,4978.443847
-4.07,80,4987.292437
-4.09,80,4996.041188
-4.59,75,5004.901
11.86,141,5019.805678
-8.01,40,5024.770041
6.5,86,5035.024627
3.67,57,5040.11537
12.95,152,5053.549875
6.1,82,5060.11028
4.25,63,5065.389201
3.86,59,5070.610998
28.15,412,5112.240819
4.12,165,5128.984787
22.29,351,5166.702004
5.53,77,5175.534467
11.05,237,5201.977851
-1.89,103,5212.785341
1.02,133,5226.941538
40.99,442,5272.281957
-3.8,83,5280.353299
1.73,140,5294.931233
12.14,247,5321.568362
3.84,59,5327.769972
24.1,268,5356.72131
-4.68,74,5364.833096
27.49,302,5396.763914
-5.09,70,5404.038472
6.78,89,5412.841403
13.36,259,5440.743156
20.61,231,5465.113232
-1.07,111,5475.094435
31.12,339,5510.879828
13.2,155,5526.886457
7.05,92,5535.342607
28.71,417,5577.108507
18.18,207,5597.98509
27.6,407,5639.393052
10.56,128,5651.601899
7.53,200,5671.641215
26.54,294,5700.800361
13.71,161,5717.499225
7.9,101,5727.398875
37.27,403,5767.391862
32.98,357,5799.741544
22.27,248,5822.099099
6.62,87,5830.016156
13.18,256,5855.22859
36.66,394,5893.57606
2.51,147,5906.121433
12.3,145,5919.023566
10.07,224,5939.893992
-5.44,66,5946.001759
18.01,203,5964.276373
21.03,234,5984.796636
39.06,519,6029.103029
-1.2,109,6038.634172
0.26,124,6049.016576
38.14,408,6084.801141
19.42,319,6113.962728
14.95,274,6139.479113
20.92,233,6160.339702
22.58,352,6192.248528
5.52,178,6210.393979
30.7,332,6241.011709
-2.32,98,6250.199542
37.43,503,6297.489777
7.2,93,6304.904423
73.29,869,6384.725584
20.72,231,6405.962352
39.76,424,6443.875485
37.45,503,6490.255931
81.11,948,6585.437706
36.97,397,6623.24002
0.54,127,6636.133008
-3.11,90,6645.361936
17.97,306,6677.015544
14.32,268,6705.435524
8.45,106,6716.71247
11.09,235,6741.518727
4.03,61,6747.659352
8.02,205,6770.550819
28.43,310,6802.707506
-5.53,65,6809.520012
13.4,259,6835.657883
23.51,260,6862.842058
18.74,314,6894.393723
36.66,498,6950.54969
69.59,735,7029.660383
38.1,513,7085.63507
3.03,153,7102.43299
4.44,65,7108.714898
26.88,296,7139.887962
9.1,113,7150.024262
0.92,131,7163.67405
6.91,90,7171.975538
12.61,148,7187.54194
-0.58,116,7199.61329
5.32,74,7206.229069
3.46,55,7211.408969
11.96,142,7226.160686
11.12,133,7240.237855
20.67,230,7263.10024
33.22,358,7298.937464
5.79,180,7316.073092
6.37,186,7333.833058
5.21,174,7349.878396
16.19,185,7369.112706
27.4,400,7407.663745
110.21,1142,7521.002127
11.42,136,7535.180423
11.11,133,7548.202747
20.23,226,7569.294178
12.31,247,7593.962082
33.69,363,7630.34866
-2.42,97,7640.378472
9.07,112,7650.931912
51.1,539,7703.530161
36.09,489,7751.959733
8.27,104,7761.59607
-4.16,79,7769.375764
13.6,259,7796.132267
53.37,563,7850.386454
14.31,267,7878.633404
7.5,96,7887.712003
9.64,118,7899.46286
13.81,160,7915.399815
15.75,180,7932.80732
12.06,143,7947.067496
9.36,115,7958.299574
12.09,143,7972.391122
28.73,413,8013.400019
3.79,160,8029.125141
31.43,339,8063.00656
14.29,165,8078.81357
11.24,134,8091.362954
16.04,183,8109.08365
42.36,450,8153.446823
23.18,356,8185.913399
67.37,703,8255.398739
8.71,108,8265.228341
50.59,634,8325.893826
3.57,56,8331.025096
5.36,74,8337.708303
-5.43,66,8343.846724
5.26,73,8350.207771
7.42,95,8358.187939
85.73,889,8443.531145
-3.66,84,8451.451013
0.2,123,8464.079212
11.57,239,8486.987497
13.85,160,8501.653488
8.55,208,8521.537314
24.81,372,8556.146657
-7.01,50,8561.095491
-4.15,79,8568.740292
5.43,75,8576.257138
51.0,640,8638.374329
26.44,289,8667.881059
22.48,248,8692.65
