#{"t_start": 1605687225.7256124, "env_id": "ChromeDinoHandrafted_accl-v0"}
r,l,t
117.57,1298,149.775625
3.51,56,156.028821
2.39,44,160.618734
5.85,80,169.939343
7.39,96,180.962662
-3.26,89,191.190034
-8.21,38,195.730118
0.14,124,210.508836
4.09,62,217.919684
2.67,47,223.884542
-1.14,111,238.090758
-5.53,66,246.778359
-5.7,64,254.689474
-6.0,61,262.335544
-8.41,36,266.840878
-8.21,38,271.352799
-8.61,34,275.848119
-8.31,37,280.310401
1.35,137,297.70253
3.99,61,305.892406
6.49,87,316.741381
-5.94,62,324.90958
5.69,79,335.607127
5.84,81,347.121228
10.1,125,363.959619
8.32,106,377.60103
-6.86,52,384.502099
6.58,88,396.109488
7.67,100,410.051957
6.3,85,421.416923
4.89,71,430.745126
5.79,80,441.363323
-5.66,65,449.4501
8.1,104,463.81724
9.23,116,479.693527
-8.91,31,484.240049
14.15,166,508.618123
3.12,52,515.661716
12.21,147,537.203507
1.66,141,557.482593
-8.81,32,561.953138
-8.33,37,567.314617
7.73,100,581.492039
6.31,85,593.381523
3.84,60,601.67975
7.69,100,615.590255
8.06,103,629.607913
-0.16,121,645.513337
2.63,47,652.131947
0.24,125,668.786642
14.17,166,690.969469
6.9,91,703.583749
-4.79,74,713.489791
7.57,98,726.552221
0.83,131,744.362969
-4.65,75,754.363051
6.19,84,765.4463
-8.13,39,770.770358
2.29,147,791.043415
6.48,87,802.700544
6.87,91,815.310166
3.96,164,837.718292
6.43,86,849.555944
5.34,75,860.07574
7.18,94,872.761933
5.78,80,883.429127
7.68,99,896.970148
6.98,92,909.492545
15.72,182,934.029458
4.92,71,943.228537
5.9,81,954.277841
0.54,129,971.567981
1.83,39,976.980738
10.9,133,994.982785
7.63,99,1008.446627
5.61,78,1019.190805
1.38,34,1023.821274
0.81,132,1041.526618
9.16,114,1056.32971
15.22,177,1080.8942
7.15,94,1093.803282
5.58,78,1104.372366
6.27,85,1115.754519
4.86,70,1125.672155
6.44,87,1138.604133
6.37,86,1150.126462
1.26,33,1154.808568
8.99,113,1170.834574
1.55,36,1175.510066
7.67,99,1188.90284
7.14,196,1215.171257
2.41,45,1220.73711
10.37,127,1237.874702
6.98,92,1250.273745
4.54,67,1259.613484
6.3,85,1271.369544
-4.45,77,1282.011676
16.13,186,1307.118968
-5.02,71,1316.303341
5.06,72,1325.710045
-2.86,94,1338.40528
5.87,81,1349.621269
2.59,150,1369.259604
6.9,91,1381.746791
9.9,121,1398.076483
4.25,64,1406.922626
