#{"t_start": 1605687238.8040674, "env_id": "ChromeDinoHandrafted_accl-v0"}
r,l,t
0.9,129,16.917472
-6.63,54,22.605184
-7.71,43,27.287925
3.15,52,33.148249
-7.71,43,37.79729
38.45,405,79.387717
54.94,571,136.633128
-7.14,49,142.013704
0.96,132,156.982564
-6.37,57,163.545756
-8.11,39,168.02882
-7.91,41,172.504686
-3.66,85,182.587834
10.29,126,197.727677
1.79,38,202.16103
1.07,134,219.28705
1.59,36,223.726739
1.47,35,228.281434
-1.55,107,241.933959
-6.88,52,248.327827
-7.74,43,253.698593
7.47,97,265.752959
-5.99,61,273.309532
2.48,149,292.749124
8.42,107,306.172952
7.18,94,318.52571
5.0,72,328.900928
-8.34,37,334.205554
2.24,43,339.724143
-7.09,50,346.76263
-5.04,71,355.789025
-7.94,41,361.140975
7.64,99,374.20669
1.66,37,379.510675
-4.72,75,389.288231
3.76,163,411.4106
6.48,87,423.169596
1.55,36,427.75072
15.9,185,452.192247
4.54,67,461.694286
8.64,109,477.159773
-7.02,51,485.244808
-5.55,66,494.622291
-8.41,36,499.132556
-1.78,105,514.436574
4.61,68,524.421516
-2.24,100,538.624089
5.03,72,549.023287
3.27,54,556.568388
-5.08,71,566.848327
17.51,201,594.739617
9.18,115,610.695383
5.8,80,621.120368
-3.51,87,632.880202
11.3,136,651.190514
15.82,182,675.616337
1.24,136,693.912277
6.08,83,705.352736
6.66,89,717.223154
-8.41,36,721.678127
8.18,104,735.949651
11.01,134,754.089214
14.9,277,791.860542
1.27,33,796.374471
-8.84,32,800.816894
7.84,101,814.569458
8.99,113,830.094832
4.34,65,838.860381
7.08,93,851.846536
5.34,75,861.858239
3.46,159,883.467672
6.67,89,895.653125
5.46,76,905.820353
2.46,148,925.683337
-3.82,84,937.00209
9.44,117,952.711728
9.13,115,968.125955
4.76,69,977.649485
-5.61,65,986.388709
6.25,85,998.092616
6.77,90,1010.33092
5.96,82,1021.521828
7.71,100,1034.36784
6.47,87,1045.940825
7.9,102,1060.422089
-0.73,116,1076.479015
5.5,77,1086.945885
6.42,86,1098.582342
0.45,128,1116.169063
5.17,74,1127.07972
6.1,186,1152.942542
7.26,95,1165.841768
6.99,92,1178.335571
5.45,76,1188.819721
10.11,124,1204.884471
3.2,53,1211.744521
4.05,62,1220.609008
-2.96,92,1232.925812
7.98,103,1246.820273
7.86,101,1260.853029
6.04,82,1271.719085
4.93,71,1281.917162
9.36,116,1296.860382
2.51,46,1303.015445
-5.24,69,1312.010701
9.55,118,1328.141589
9.54,118,1343.53096
8.18,104,1357.642758
7.55,98,1370.947507
-8.91,31,1375.37902
-4.27,79,1386.042812
1.03,134,1404.650864
6.47,87,1416.535417
7.97,102,1429.959227
3.5,56,1437.075641
5.51,77,1447.626619
17.27,198,1474.618824
9.33,116,1489.811759
9.31,116,1505.364496
15.62,181,1529.395081
19.93,225,1559.754454
10.05,124,1576.606738
5.98,82,1587.557741
1.34,137,1605.869895
6.01,82,1616.876686
5.42,76,1627.047304
4.19,63,1635.267137
7.97,102,1649.244123
11.56,139,1667.704745
8.64,109,1682.664232
0.67,130,1700.782892
5.5,77,1711.540618
3.33,157,1732.855785
-8.07,40,1739.208817
7.44,97,1752.345807
12.84,153,1773.16906
-5.09,71,1783.895727
5.16,73,1794.398232
12.61,150,1815.103811
16.53,190,1841.319775
8.76,110,1856.372831
4.39,168,1878.767597
8.86,111,1893.350879
5.44,76,1903.703013
1.85,39,1908.349179
3.37,55,1915.91225
-3.27,89,1927.575673
6.1,83,1938.286379
2.6,47,1944.580009
11.48,138,1962.888106
9.39,117,1978.715967
7.09,93,1991.672419
8.56,108,2005.989256
5.95,81,2016.639388
2.91,50,2023.061352
9.06,113,2037.975881
8.02,102,2051.314384
11.16,134,2069.263206
3.62,160,2090.127471
17.7,202,2116.588398
-8.51,35,2121.018673
22.55,251,2153.885222
10.09,124,2170.355551
6.15,83,2181.20847
5.84,80,2191.379328
10.47,127,2207.962874
8.05,102,2221.19814
7.98,102,2233.953135
2.21,146,2253.17006
5.75,79,2263.232747
7.61,98,2275.70189
9.79,120,2291.153641
14.24,166,2312.4305
20.04,225,2341.430912
8.08,103,2354.821567
