#{"t_start": 1605687232.2183495, "env_id": "ChromeDinoHandrafted_accl-v0"}
r,l,t
10.17,122,22.479777
4.06,61,29.111115
-4.52,76,37.449216
-6.84,52,43.267896
-4.67,74,51.702521
23.9,360,87.728962
1.74,139,101.802626
22.97,352,136.329812
-0.45,118,149.615871
2.39,44,154.18484
-8.01,40,158.693452
6.74,89,169.127617
9.08,113,182.027116
10.64,129,197.40758
6.33,85,207.507094
-8.31,37,211.948554
-3.8,84,222.855118
-0.08,122,238.441944
-7.16,49,244.762115
4.79,69,253.137719
-6.6,55,260.070882
-4.71,74,269.441153
-8.31,37,273.901165
-3.79,84,284.441128
-8.61,34,288.883162
-4.17,80,299.540309
-7.91,41,304.048857
5.41,76,314.077293
-8.81,32,318.501616
7.41,97,331.662691
-3.05,92,344.221555
7.5,98,357.849925
-8.31,37,362.290966
-5.52,66,370.977642
-6.9,52,377.902647
3.27,54,385.28293
-7.64,44,390.771457
0.5,129,408.647554
5.31,75,418.645952
7.76,101,432.130415
7.64,99,444.69053
7.84,102,458.570519
-7.95,41,464.040924
5.01,72,474.195957
7.1,94,488.432004
6.46,87,501.124233
10.0,124,518.378373
5.4,76,529.508917
3.62,58,537.611171
6.07,83,549.91402
5.85,81,561.500583
-8.06,40,567.011163
7.06,93,580.182832
-9.01,30,584.620605
7.65,99,598.113653
-1.57,108,613.092752
7.31,95,625.781123
-2.4,98,638.662001
8.35,106,653.036343
7.85,101,666.425826
7.83,101,680.389969
1.51,139,699.028519
0.99,133,716.949854
13.02,154,737.934063
5.97,82,748.843981
-8.71,33,753.299387
8.02,103,767.12155
5.72,182,791.973094
0.79,132,810.040397
8.97,113,825.612324
8.76,111,840.657941
9.49,119,857.227988
6.4,87,868.775073
3.64,161,890.813673
8.84,112,905.874967
5.52,77,916.403067
15.6,180,940.173511
-5.94,62,948.819369
-4.96,72,958.447714
8.08,104,972.537784
8.7,110,987.481412
5.91,81,998.316995
6.08,83,1009.976565
16.09,187,1035.122643
2.63,47,1040.89272
-8.03,40,1046.147902
8.82,111,1061.403298
6.67,89,1073.848288
1.34,34,1078.509136
7.22,95,1091.649763
7.66,99,1105.0783
1.15,135,1124.037935
-9.01,30,1128.46788
2.52,46,1134.71616
-8.61,34,1139.157493
7.82,100,1153.268183
-7.2,49,1160.32664
1.75,38,1165.778574
5.92,81,1176.338028
-7.68,44,1182.521868
6.09,83,1193.779846
5.54,77,1204.121579
3.12,52,1210.682385
9.77,120,1226.91295
8.27,105,1241.095382
5.34,75,1250.987239
11.74,141,1270.680747
3.19,53,1277.646384
5.8,80,1288.950682
1.65,37,1293.582755
2.92,50,1300.300702
7.07,93,1312.248756
7.05,93,1324.575564
5.41,76,1335.217274
6.14,83,1346.304423
4.76,69,1355.005867
9.75,120,1371.673973
8.05,103,1385.769454
3.08,154,1406.902291
8.87,111,1422.150871
7.92,102,1435.632
6.38,86,1446.814383
5.71,79,1457.435256
9.52,118,1473.431301
-7.27,48,1480.128253
6.59,88,1492.025837
5.71,79,1502.584636
6.96,92,1514.513213
9.13,114,1529.914499
5.73,79,1540.400258
-7.72,43,1546.502603
6.92,91,1558.415106
8.08,103,1571.993741
7.34,96,1585.347102
5.59,78,1595.781121
-2.33,99,1608.718344
2.99,51,1615.59925
4.45,66,1624.520219
8.87,111,1639.26073
9.85,122,1655.915165
4.94,71,1664.706041
18.77,214,1694.617855
5.11,73,1704.582858
-4.57,76,1715.425758
10.19,125,1732.179025
-0.61,117,1749.346069
11.55,139,1767.850441
5.05,72,1777.9004
8.64,109,1793.814797
1.75,141,1813.695648
5.72,79,1824.53522
5.85,80,1835.862002
-6.86,52,1842.731099
1.85,39,1848.137872
5.11,73,1858.33195
5.44,76,1868.275215
5.61,78,1878.772932
4.35,65,1887.343086
7.87,101,1900.717243
7.81,101,1913.830142
7.98,102,1927.197044
8.57,108,1941.474027
-8.71,33,1945.94276
2.6,47,1952.184458
8.02,103,1965.888333
8.56,108,1980.395331
14.21,166,2003.060435
17.0,194,2028.52783
8.86,111,2043.178707
6.65,88,2054.723058
18.5,209,2082.06691
8.78,110,2096.842395
8.89,111,2111.266472
6.54,87,2122.68522
8.49,107,2136.603007
7.72,99,2149.436033
7.63,99,2162.577249
1.28,136,2180.713537
9.58,118,2195.720651
8.44,107,2209.602217
-4.95,72,2219.07719
9.23,114,2233.395206
-8.61,34,2237.829521
12.32,146,2256.972765
5.86,80,2267.183776
8.61,108,2280.981586
3.76,161,2301.6357
